ROW,GARDEN_PLANT_ID,2020 STATUS,PLANT_CODE,PLANT_STATE,PLANT_SPECIES,PLANT_PROVENANCE,ORIGIN_PLANT_ID,PLOIDY,TYPE OF HERBIVORY,LEVEL OF HERBIVORY,TOTAL AREA (UNITS?),VOLUME (UNITS?),VOLUME (HIGH OR LOW),90% HEIGHT (UNITS?),EXTRACTION WEIGHT (G),GC VIAL WEIGHT (G),GC WET WEIGHT (G),GC DRY AND VIAL WEIGHT (G),DRY WEIGHT (G),DRY WEIGHT (MG),% DRY WEIGHT,DRY WEIGHT OF EXTRACTED SAMPLES,UM TP,mM TP PER GRAM DRY WEIGHT (mM TP/G DW),%N,%C,TOTAL AREA UNDER THE CURVE,TOTAL # OF MONOTERPENE PEAKS,TOTAL AUC >28MIN,TOTAL AUC >28 MIN/mg DW,TOTAL # PEAKS >28MIN,"1,8 CINEOLE AUC",UNKNOWN 3.2 AUC,STATUS LIVE OR DEAD,NDVI_COUNT,NDVI_AREA,NDVI_MEAN,NDVI_MIN,NDVI_MAX,NDVI_RANGE,NDVI_STD,NDVI_SUM,THERMORIGINAL_COUNT,THERMORIGINAL_AREA,THERMORIGINAL_MEAN,THERMORIGINAL_STD,THERMAL_AREA,THERMAL_MEAN,THERMAL_STD
1,6,A,UT'V.3.5,UT,V,3,5,4n,.,l,143.0408585,1725.072754,Low,12.06,0.0518,14.93559,0.05137,14.95724,0.02165,2.165,0.421452209,0.021831224,3190.655,146.150987,2.88,44.15,27369.7,44,27369.71314,12641.89983,44,2137.9856,0,.,49,0.512498492,0.104366005,-0.047619049,0.227272734,0.274891783,0.077683685,5.113934257,25,0.50637456,15557.6,73.4890468,0.50637456,15641.12,107.4985842
1,10,D,WA'T.2.3,WA,T,2,3,4n,.,h,46.98618651,1477.151731,Low,31.438,0.05177,14.97349,0.04884,14.99211,0.01862,1.862,0.381244881,0.019737048,3878.665,196.5169816,4.08,45.54,32633.8,77,32628.52933,17523.37773,76,4250.69043,944.79242,.,33,0.345152046,0.129855347,-0.05472637,0.268722475,0.323448844,0.095759299,4.28522645,16,0.324079718,15760.5625,176.2941323,0.324079718,16027.25,40.14894146
1,15,D,ORT*W.2.1,OR,T,2,1,2n,.,n,31.40935014,922.9951632,Low,29.386,0.05192,14.90778,0.05146,14.92751,0.01973,1.973,0.383404586,0.019906366,3878.0925,194.8166973,3.945,44.195,31453,60,31453,15941.71313,60,1582.41052,0,.,48,0.502039339,0.021155174,-0.072243348,0.109243698,0.181487046,0.041308394,1.015448331,24,0.486119578,15860.25,131.41989,0.486119578,15807.125,141.06184
1,17,D,MT'W.1.7,MT,W,1,7,4n,.,l,34.15584642,616.5813395,Low,18.052,0.05225,14.89265,0.05169,14.91226,0.01961,1.961,0.379377056,0.019822451,1950.6875,98.40798623,2.38,45.375,31681.2,66,31681.22791,16155.64911,66,6379.74561,0,.,11,0.115050682,0.003472386,-0.05185185,0.046728972,0.098580822,0.030559473,-0.038196244,4,0.08101993,15863.75,39.61928192,0.08101993,15963,38.4317577
1,20,D,UTT.1.8,UT,T,1,8,2n,.,n,47.48980256,2982.929478,Low,62.812,0.05187,14.99461,0.05146,15.0142,0.01959,1.959,0.380684026,0.01974608,1809.395,91.63312205,4.545,45.68,22520.7,69,22520.7,11496.01838,69,2177.21411,1064.71924,.,34,0.355611199,0.048441496,-0.027522936,0.142857149,0.170380086,0.045867407,1.647010852,19,0.384844666,16006.84211,50.69959323,0.384844666,14749.84211,316.9171008
1,23,A,NM'T.2.5,NM,T,2,5,4n,fly/aphids,m,27.18135255,1373.066024,Low,50.515,0.05402,15.0242,0.05067,15.04854,0.02434,2.434,0.480363134,0.025949216,3394.8775,130.8277458,3.185,46.01,21561.6,64,21555.71105,8856.085066,63,1094.047,590.35889,.,39,0.407906963,0.11792364,0.02586207,0.213270143,0.187408073,0.056018366,4.599021947,23,0.465864595,15081.95652,546.0531491,0.465864595,14870.86957,367.4288224
1,25,A,UTT.1.5,UT,T,1,5,2n,aphids,l,123.6599841,4510.868902,Low,36.478,0.05195,14.987,0.05075,15.00657,0.01957,1.957,0.385615764,0.020032739,2114.71125,105.562762,4.105,44.86,23068.4,64,23068.4,11787.63413,64,2033.94849,911.75366,.,40,0.418366116,0.156876331,0.008403362,0.335968375,0.327565013,0.102178134,6.275053226,21,0.42535463,15544.90476,327.2281721,0.42535463,15715.47619,156.4123424
2,31,D,ORT.3.7,OR,T,3,7,2n,ant,l,79.63914544,1919.78124,Low,24.106,0.05101,14.80925,0.05283,14.83062,0.02137,2.137,0.404505016,0.020633801,3174.50875,153.8499266,4.195,44.625,31314.3,67,31309.34424,14651.07358,66,2400.09277,507.21432,.,82,0.857650538,0.221116064,0.010309278,0.413919419,0.403610141,0.106954695,18.13151728,40,0.810199296,15417.675,485.4964669,0.810199296,15333.95,261.2258553
2,42,A,ORT.2.6,OR,T,2,6,2n,aphids,l,899.7912944,55338.96419,High,61.502,0.05054,14.89807,0.05021,14.91685,0.01878,1.878,0.374029078,0.01890343,1905.93625,100.8248921,3.94,49.235,17652.5,67,17652.52875,9399.642572,67,382.42102,683.39209,.,127,1.328312418,0.107466696,-0.060773481,0.232227489,0.29300097,0.063481036,13.64827036,69,1.397593786,15162.36232,365.1955986,1.397593786,15476.36232,464.02661
2,43,D,CAV*W.3.1,CA,V,3,1,2n,.,n,129.7219328,3177.409022,Low,24.494,0.0491,14.94866,0.05188,14.97017,0.02151,2.151,0.41461064,0.020357382,2708.33375,133.0393905,2.615,49.94,27826.1,65,27826.08419,12936.34783,65,5657.34229,0,DEAD,39,0.407906963,0.017205819,-0.032258064,0.112149529,0.144407593,0.036460972,0.671026937,18,0.364589683,15044.61111,521.4558828,0.364589683,15875.11111,162.9082526
2,47,D,CAT.2.7,CA,T,2,7,2n,.,m,60.85317276,3358.425751,Low,55.189,0.05091,14.94091,0.05016,14.96228,0.02137,2.137,0.426036683,0.021689528,2001.05625,92.25909826,2.54,45.23,48984.89485,72,48984.89485,22922.27181,72,3754.88672,497.15488,DEAD,15,0.156887294,0.013005136,-0.057142857,0.019417476,0.076560333,0.023016276,-0.195077041,9,0.182294842,15614.55556,75.36888705,0.182294842,15662.88889,269.9935985
2,48,D,CAV.1.10,CA,V,1,10,2n,.,n,60.9488967,3251.136048,Low,53.342,0.05236,14.88501,0.05295,14.9105,0.02549,2.549,0.481397545,0.025205975,4625.20125,183.4962213,3.47,45.72,29829.6,68,29829.57187,11702.46052,68,4750.90869,0,.,19,0.198723905,0.083330179,-0.026415095,0.200000003,0.226415098,0.063903952,1.583273395,9,0.182294842,15741.55556,100.175525,0.182294842,15692,136.4290617
2,50,D,MT'W.2.9,MT,W,2,9,4n,.,h,43.83274924,3104.805127,Low,70.833,0.0503,15.06919,0.04984,15.09821,0.02902,2.902,0.582263242,0.029287841,3544.41125,121.019888,3.21,45.78,40420.3,77,40415.96746,13926.93572,76,11695.9,491.60837,DEAD,4,0.041836612,0.024859672,0.016666668,0.031963471,0.015296804,0.005463053,0.09943869,2,0.040509965,15314,142,0.040509965,15386.5,97.5
