ID,subspp,Season,Stts_QC,X_IDTM,Y_IDTM,AREA,UAS_Thermal,Variance_Plant_Temp,Tleaf,Photo,Trans,Cond,water_use_eff,PhiPS2
6,V4n,June,Living,2338006.902,1348751.167,1.00013888,-15.75223479,5.711545692,35.66811117,8.955084452,0.001556037,0.035041597,5755.057581,0.681
11,V4n,June,Living,2338004.287,1348747.415,0.42091931,-15.79185647,2.3609449,35.29985173,10.47759359,0.015782539,0.455426478,663.8725118,0.699
29,T4n,June,Living,2337993.218,1348736.495,0.39454784,-13.12381569,3.938182074,36.90301005,0.111513111,0.00019173,0.003833449,581.6163591,0.578
44,W4n,June,Living,2338001.919,1348747.174,0.83542406,-12.52003476,7.700481294,32.54843903,0.8636013,0.000550275,0.015969515,1569.399483,0.763
53,T4n,June,Living,2338007.076,1348753.387,0.18444164,-13.02129612,5.182197448,31.41197205,10.28754947,0.007528373,0.286815441,1366.503658,0.705
54,T4n,June,Living,2338007.494,1348754.276,1.18687068,-19.19668939,4.315197005,33.10248057,1.253481667,0.003993183,0.114221085,313.9054162,0.697
56,W4n,June,Living,2338008.511,1348755.431,0.79353113,-16.6641006,5.00682511,32.9662145,3.522565227,0.004181727,0.120957362,842.3708544,0.758
60,W4n,June,Living,2338005.858,1348754.721,0.41608664,-13.71950635,4.520605973,34.90407817,5.073903216,0.005898529,0.151988264,860.1980622,0.771
62,V4n,June,Living,2338004.576,1348753.118,0.24648231,-7.495251537,1.388341789,33.94548797,17.76976941,0.013977857,0.457162572,1271.279985,0.73
69,W4n,June,Living,2338000.616,1348748.161,0.79566842,-13.80430142,7.400060195,36.37606176,6.700415402,0.007168252,0.16443911,934.7349554,0.698
70,W4n,June,Living,2338000.108,1348747.468,0.7552581,-15.86946274,5.818481297,34.81892649,6.93148405,0.008508243,0.230849661,814.6786652,0.701
71,W4n,June,Living,2337999.551,1348746.758,1.20530686,-16.14581918,4.870545895,33.95332209,7.26171698,0.007959433,0.233589087,912.3409896,0.695
72,NA,June,NA,NA,NA,NA,NA,NA,32.78157171,14.42526813,0.007247666,0.225299118,1990.332815,0.725
75,T2n,June,Living,2337997.194,1348743.817,1.06915355,-16.03186203,4.815265909,34.15530269,15.45001332,0.00639532,0.179521493,2415.831284,0.716
78,W4n,June,Living,2337995.426,1348741.742,0.33836965,-10.96286506,5.937515579,33.32037608,15.62515906,0.011401323,0.36192262,1370.468981,0.66
86,T4n,June,Living,2337991.84,1348739.546,0.57395635,-17.67320776,2.741958869,35.8907458,0.111415727,0.006260473,0.148964892,17.7966957,0.671
87,T4n,June,Living,2337992.175,1348740.06,0.68099233,-14.06925629,5.980645122,33.27174377,10.35796184,0.007559525,0.225088372,1370.186862,0.723
89,T4n,June,Living,2337993.236,1348741.31,0.96364834,-15.56559835,4.416013809,31.87848791,15.89616746,0.010372841,0.358343872,1532.479623,0.667
91,T2n,June,Living,2337994.616,1348743.095,1.26549616,-13.93644812,11.06472397,31.7276446,15.70788673,0.009653747,0.334612275,1627.128541,0.718
92,T4n,June,Living,2337995.039,1348743.768,0.41149301,-17.12224066,5.100089286,33.42177327,13.90567093,0.007211038,0.21081767,1928.38686,0.677
93,W4n,June,Living,2337995.42,1348744.352,0.85407417,-15.68487057,5.486697331,32.90411631,9.05803918,0.007732839,0.240983415,1171.373047,0.666
99,T4n,June,Living,2337999.132,1348748.486,0.5555888,-10.85632121,5.537065624,33.93675868,11.10333587,0.008870861,0.254216478,1251.663785,0.681
107,T2n,June,Living,2338003.372,1348754.127,0.8274945,-16.73547671,5.363431823,31.36090469,11.33553648,0.007292,0.250454612,1554.516868,0.704
113,T4n,June,Living,2338005.184,1348758.572,1.10738877,-14.50346458,6.120881058,30.93838374,12.51130253,0.00784358,0.28540385,1595.101097,0.645
129,V4n,June,Living,2337996.06,1348747.281,0.49695109,-8.625670449,1.878174075,31.10652669,8.040441551,0.008735369,0.319403231,920.4466627,0.734
131,V4n,June,Living,2337994.863,1348745.832,0.05000578,-10.86618372,3.428105112,31.13101578,2.934010995,0.006053856,0.210146578,484.6515731,0.725
133,T4n,June,Living,2337993.813,1348744.402,0.91748177,-12.24735944,8.29581734,31.63173167,4.688823422,0.008775988,0.307228027,534.2787159,0.717
136,W4n,June,Living,2337992.13,1348742.306,0.47763839,-14.30627798,6.430777425,31.839077,10.35094567,0.00505501,0.162057915,2047.660905,0.695
142,T2n,June,Living,2337989.151,1348741.19,0.40796494,-12.93188682,4.496835884,34.40096156,8.242797088,0.004073512,0.103955535,2023.511183,0.708
158,T4n,June,Living,2337998.5,1348752.543,2.33077198,-18.03273272,6.271500197,33.60728327,18.7923305,0.011170543,0.347744071,1682.311281,0.745
159,T4n,June,Living,2337998.984,1348753.203,0.54934629,-17.20687452,6.712128438,31.21264331,17.49719652,0.007092252,0.252337431,2467.086128,0.713
163,V4n,June,Living,2338001.265,1348756.184,0.28135367,-16.42888225,6.09118848,31.93743388,20.89800163,0.010005739,0.350779714,2088.601445,0.692
164,T4n,June,Living,2338001.804,1348756.871,0.86168264,-15.76661582,6.246458576,33.34246699,8.329938199,0.009625177,0.300613761,865.4322396,0.714
