garden_Plant_ID,,C002,,,C003,,,C004,,,C005,,,C006,,,C007,,,C008,,,C009,,,C010,,,C011,,,C012,,,C013,,,C014,,,C015,,,C016,,,C017,,,C018,,,C019,,,C020,,,C021,,,C022,,,C023,,,C024,,,C025,,,C026,,,C027,,,C028,,,C029,,,C030,,,C031,,,C032,,,C033,,,C034,,,C035,,,C036,,,C037,,,C038,,,C039,,,C040,,,C041,,,C042,,,C043,,,C044,,,C045,,,C046,,,C047,,,C048,,,C049,,,C050,,,C051,,,C052,,,C053,,,C054,,,C055,,,C056,,,C057,,,C058,,,C059,,,C060,,,C061,,,C062,,,C063,,,C064,,,C065,,,C066,,,C067,,,C068,,,C069,,,C070,,,C071,,,C072,,,C073,,,C074,,
,,RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent"
100,,,,,3.674,2646.018,6.61,,,,,,,7.3081,984.873,2.46,9.9291,328.236,0.82,,,,,,,12.1439,1006.165,2.52,,,,13.1796,207.131,0.52,13.7814,1643.077,4.11,,,,,,,14.8935,4114.726,10.29,,,,,,,,,,16.3879,362.689,0.91,,,,17.076,9522.094,23.8,,,,,,,17.7595,405.645,1.01,17.9779,2467.282,6.17,,,,,,,18.557,122.909,0.31,18.638,134.911,0.34,19.0343,129.452,0.32,19.3501,88.57,0.22,,,,,,,,,,,,,,,,20.8984,2054.464,5.14,21.1461,7811.443,19.53,,,,21.457,308.226,0.77,21.5425,114.264,0.29,,,,21.6849,225.532,0.56,21.9361,872.672,2.18,22.36,91.078,0.23,,,,,,,23.1635,268.504,0.67,23.2831,142.545,0.36,23.4462,359.101,0.9,23.6235,65.92,0.16,,,,23.7438,259.209,0.65,,,,,,,24.013,115.664,0.29,,,,,,,,,,,,,,,,25.4928,230.715,0.58,,,,25.982,907.165,2.27,,,,26.4968,1241.504,3.1,26.6281,587.157,1.47,,,,,,,,,,,,,,,,,,
105,,3.0509,296.987,1.16,3.6742,4089.991,15.93,,,,,,,7.3475,789.594,3.08,9.9299,281.178,1.1,11.6174,551.472,2.15,11.9571,253.881,0.99,12.1308,295.824,1.15,,,,,,,13.759,384.577,1.5,,,,,,,14.8377,357.18,1.39,,,,,,,15.8135,777.103,3.03,16.3793,352.465,1.37,,,,16.9923,2732.291,10.64,,,,,,,17.7925,2707.42,10.55,17.964,216.993,0.85,,,,,,,18.5556,350.629,1.37,18.6343,245.803,0.96,18.8891,582.91,2.27,,,,,,,,,,20.0325,151.888,0.59,,,,20.5685,235.591,0.92,20.8216,126.73,0.49,21.2124,85.328,0.33,21.3204,1393.958,5.43,21.4691,365.544,1.42,,,,,,,21.7114,3144.035,12.25,21.935,285.408,1.11,,,,,,,,,,23.1232,229.81,0.9,23.2785,53.46,0.21,23.4411,164.828,0.64,23.5739,76.46,0.3,23.664,171.876,0.67,23.7401,122.289,0.48,,,,,,,24.0476,105.381,0.41,,,,,,,,,,,,,,,,25.3971,210.191,0.82,,,,25.97,207.642,0.81,,,,,,,26.6185,249.477,0.97,,,,,,,,,,,,,,,,,,
128,,3.1232,1013.283,4.91,3.6706,910.08,4.41,,,,,,,,,,,,,,,,,,,12.1436,1687.362,8.18,,,,13.1714,421.17,2.04,13.7691,1424.939,6.91,,,,,,,14.8804,4009.599,19.44,,,,,,,,,,,,,,,,16.9779,2091.774,10.14,,,,,,,,,,17.9331,606.821,2.94,,,,18.5387,108.562,0.53,18.619,121.316,0.59,,,,,,,,,,,,,,,,,,,,,,,,,20.8277,586.384,2.84,21.0993,5047.77,24.47,,,,21.4477,147.711,0.72,21.5239,80.362,0.39,,,,21.6749,122.652,0.59,21.9107,155.831,0.76,22.3389,88.525,0.43,,,,,,,23.1229,760.618,3.69,23.2749,110.739,0.54,23.4372,160.697,0.78,,,,,,,23.7354,89.053,0.43,,,,,,,24.0062,55.818,0.27,,,,24.3978,120.633,0.58,,,,,,,,,,,,,,,,25.9672,283.415,1.37,,,,,,,26.6139,102.725,0.5,,,,,,,,,,,,,,,,,,
130,,3.1481,770.886,9.12,3.6923,811.592,9.6,,,,,,,,,,,,,,,,,,,12.1358,400.15,4.73,,,,,,,,,,,,,,,,14.8513,1466.994,17.35,,,,,,,,,,,,,,,,16.9589,736.276,8.71,,,,,,,17.7587,1147.914,13.58,17.9404,568.921,6.73,,,,,,,18.5469,179.355,2.12,18.6274,185.942,2.2,,,,,,,,,,,,,,,,,,,,,,20.8059,423.362,5.01,,,,,,,21.4242,220.389,2.61,,,,,,,,,,,,,,,,,,,,,,23.1287,134.591,1.59,,,,23.4358,95.507,1.13,,,,,,,23.7365,94.457,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9711,304.049,3.6,,,,26.4824,140.032,1.66,26.6207,281.535,3.33,,,,,,,,,,,,,,,,,,
158,,3.1929,6653.789,11.09,3.6709,2983.99,4.97,,,,,,,7.3232,829.473,1.38,9.9414,350.568,0.58,,,,,,,12.1499,1366.966,2.28,,,,13.184,424.308,0.71,13.784,1771.555,2.95,,,,,,,14.915,5550.375,9.25,,,,,,,15.8285,204.323,0.34,16.388,129.41,0.22,,,,17.0112,3446.385,5.75,,,,,,,17.8125,2933.658,4.89,,,,,,,,,,18.5751,286.355,0.48,18.6574,416.499,0.69,18.9123,458.646,0.76,19.3624,266.31,0.44,,,,,,,20.0683,176.661,0.29,,,,,,,20.9448,4482.632,7.47,21.1677,9002.069,15.01,21.3074,358.505,0.6,21.48,296.714,0.49,21.5558,181.473,0.3,,,,21.6977,1810.721,3.02,21.9375,309.302,0.52,,,,,,,22.9899,100.438,0.17,23.1726,225.58,0.38,23.2933,451.633,0.75,23.4767,1927.54,3.21,23.6344,53.451,0.09,,,,23.7594,678.044,1.13,,,,23.9175,86.873,0.14,24.027,793.18,1.32,,,,,,,,,,,,,,,,25.4968,325.771,0.54,,,,25.9843,933.609,1.56,,,,26.497,1064.044,1.77,26.63,494.02,0.82,,,,,,,,,,,,,,,,,,
165,,3.1567,382.796,0.84,3.7029,1688.538,3.72,,,,,,,,,,,,,,,,,,,12.1572,980.61,2.16,,,,13.1936,702.015,1.54,13.8092,3586.123,7.89,,,,,,,14.8637,1596.069,3.51,,,,,,,,,,16.4025,560.717,1.23,,,,17.0954,11730.648,25.81,,,,,,,17.7626,223.188,0.49,17.9708,1904.596,4.19,,,,18.3766,273.796,0.6,18.5731,423.491,0.93,18.6489,245.407,0.54,19.0431,235.617,0.52,19.5233,260.381,0.57,,,,,,,,,,20.3469,181.717,0.4,,,,20.9055,160.541,0.35,21.2056,14365.275,31.61,,,,21.4535,167.716,0.37,21.5578,426.115,0.94,,,,21.701,484.769,1.07,21.9575,1471.258,3.24,22.3623,264.045,0.58,,,,,,,23.1604,273.576,0.6,23.2865,145.349,0.32,23.4506,340.354,0.75,,,,,,,23.7483,262.071,0.58,23.8105,60.414,0.13,,,,24.017,99.562,0.22,,,,,,,,,,,,,25.2786,182.388,0.4,25.5002,303.855,0.67,,,,25.977,143.309,0.32,,,,,,,26.6219,114.257,0.25,,,,,,,,,,,,,,,,,,
17,,3.0384,620.085,2.04,3.6688,1294.72,4.26,,,,,,,,,,,,,,,,,,,12.1327,1017.19,3.35,,,,13.1706,617.121,2.03,13.7774,2142.559,7.05,,,,,,,14.8767,3902.043,12.84,,,,,,,,,,,,,16.6692,160.459,0.53,17.0329,6377.122,20.99,,,,,,,,,,17.9353,564.212,1.86,,,,18.5436,161.266,0.53,18.6235,162.371,0.53,,,,,,,,,,,,,,,,20.0371,148.802,0.49,,,,,,,20.8811,1260.759,4.15,21.1464,8891.673,29.26,,,,21.4389,216.507,0.71,21.5373,310.388,1.02,21.6017,77.153,0.25,21.6833,428.357,1.41,21.9193,468.806,1.54,22.3456,112.366,0.37,,,,,,,23.1391,263.473,0.87,,,,23.4351,118.478,0.39,,,,,,,23.7337,126.316,0.42,,,,,,,24.0447,199.935,0.66,,,,,,,,,,,,,,,,25.3952,234.854,0.77,,,,,,,,,,,,,26.6149,100.969,0.33,,,,,,,,,,,,,,,,,,
192,,3.1578,706.2,3.05,3.6696,3216.309,13.89,,,,,,,,,,,,,,,,,,,12.1379,1497.477,6.47,,,,,,,13.7577,677.282,2.93,,,,,,,14.8302,566.043,2.44,,,,,,,15.8149,1400.937,6.05,,,,,,,16.9767,1980.194,8.55,,,,,,,17.7487,941.355,4.07,,,,,,,,,,18.5549,483.03,2.09,18.6319,336.593,1.45,18.8739,400.125,1.73,,,,,,,19.9379,211.404,0.91,20.0222,227.684,0.98,,,,,,,20.8161,149.345,0.64,21.0639,2845.648,12.29,21.3228,1824.226,7.88,21.4567,427.566,1.85,,,,,,,21.6891,2035.083,8.79,21.9233,290.682,1.26,,,,,,,,,,23.1471,213.531,0.92,,,,23.4373,99.354,0.43,23.5697,58.571,0.25,23.6573,164.683,0.71,23.7371,95.833,0.41,,,,,,,24.0091,60.92,0.26,,,,,,,,,,,,,,,,,,,,,,25.9674,159.574,0.69,,,,,,,26.615,98.05,0.42,,,,,,,,,,,,,,,,,,
194,,3.2309,1620.614,5.46,3.6801,7235.198,24.37,,,,,,,,,,,,,,,,11.956,286.656,0.97,12.1266,327.132,1.1,,,,,,,13.7612,827.285,2.79,,,,,,,14.8343,392.701,1.32,,,,,,,15.8228,1034.183,3.48,,,,16.6572,274.784,0.93,16.9927,2902.019,9.77,,,,,,,17.7712,1762.526,5.94,17.9478,163.937,0.55,,,,,,,18.5577,488.18,1.64,18.6385,402.125,1.35,18.8889,371.764,1.25,,,,,,,19.9533,114.846,0.39,20.0279,245.681,0.83,,,,20.5674,233.745,0.79,20.8249,172.912,0.58,21.0859,3507.737,11.81,21.313,1070.926,3.61,21.4737,180.532,0.61,21.5317,124.198,0.42,,,,21.7163,3734.547,12.58,21.9394,275.971,0.93,,,,,,,22.9815,87.66,0.3,23.1204,729.397,2.46,23.2757,82.611,0.28,23.4397,123.662,0.42,23.5711,103.392,0.35,23.6655,295.976,1,23.7381,152.88,0.51,,,,,,,24.0458,67.024,0.23,,,,,,,,,,,,,,,,25.395,170.173,0.57,,,,,,,,,,,,,26.615,128.628,0.43,,,,,,,,,,,,,,,,,,
