X,C001,,,C002,,,C003,,,C004,,,C005,,,C006,,,C007,,,C008,,,C009,,,C010,,,C011,,,C012,,,C013,,,C014,,,C015,,,C016,,,C017,,,C018,,,C019,,,C020,,,C021,,,C022,,,C023,,,C024,,,C025,,,C026,,,C027,,,C028,,,C029,,,C030,,,C031,,,C032,,,C033,,,C034,,,C035,,,C036,,,C037,,,C038,,,C039,,,C040,,,C041,,,C042,,,C043,,,C044,,,C045,,,C046,,,C047,,,C048,,,C049,,,C050,,,C051,,,C052,,,C053,,,C054,,,C055,,,C056,,,C057,,,C058,,,C059,,,C060,,,C061,,,C062,,,C063,,,C064,,,C065,,,C066,,,C067,,,C068,,,C069,,,C070,,,C071,,,C072,,,C073,,,C074,,
Plant_ID,RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent",RT,Peak Area,"Peak Area
Percent"
131,,,,3.015,3412.864,6.05,4.2357,225.455,0.4,,,,5.0121,834.076,1.48,,,,,,,11.6286,1533.888,2.72,,,,12.1688,182.541,0.32,12.6577,217.217,0.39,13.2831,3128.403,5.55,,,,14.2627,444.824,0.79,14.4428,4992.382,8.86,,,,,,,15.3094,124.82,0.22,15.9227,206.213,0.37,16.5584,4326.201,7.68,16.7699,287.948,0.51,,,,,,,17.3483,1297.332,2.3,,,,17.9672,1824.524,3.24,18.2074,229.113,0.41,,,,,,,,,,,,,19.6272,846.316,1.5,19.8791,140.471,0.25,,,,,,,20.4586,901.521,1.6,20.5474,195.104,0.35,20.9415,266.4,0.47,21.2783,237.052,0.42,21.3291,118.968,0.21,,,,21.5596,212.812,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7534,85.964,0.15,,,,,,,,,,,,,,,,,,,25.116,143.55,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,3.0162,3923.162,9.61,4.2372,177.403,0.43,,,,,,,,,,,,,11.604,193.661,0.47,,,,12.1495,200.229,0.49,12.6586,416.288,1.02,13.2692,1771.506,4.34,,,,,,,,,,,,,,,,15.343,232.902,0.57,15.9314,564.662,1.38,,,,16.6251,11053.187,27.07,,,,,,,,,,,,,17.9163,178.867,0.44,18.1944,311.469,0.76,18.3945,107.437,0.26,18.592,202.311,0.5,,,,,,,19.5945,187.403,0.46,,,,,,,,,,20.3597,186.667,0.46,20.7027,6647.752,16.28,,,,21.1528,299.7,0.73,21.2849,670.364,1.64,,,,21.5742,755.979,1.85,,,,,,,22.0069,137.733,0.34,,,,,,,,,,,,,,,,,,,,,,,,,23.7596,341.076,0.84,,,,,,,,,,,,,,,,,,,25.1199,344.541,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,3.0144,3659.919,6.97,4.2364,151.771,0.29,4.8348,548.261,1.04,,,,,,,,,,11.6288,1349.769,2.57,,,,12.1648,133.055,0.25,12.6695,707.196,1.35,13.2735,1729.285,3.29,,,,14.2561,159.693,0.3,,,,,,,,,,,,,15.9478,883.674,1.68,16.2446,283.651,0.54,16.6837,18450.698,35.13,,,,,,,,,,,,,17.9743,1355.268,2.58,18.2057,197.537,0.38,,,,18.606,323.155,0.62,,,,,,,19.6041,144.976,0.28,19.8714,238.642,0.45,,,,,,,20.4768,1551.751,2.95,,,,,,,21.1669,411.147,0.78,21.3023,947.947,1.8,,,,21.5923,1215.5,2.31,,,,,,,21.9919,335.277,0.64,,,,,,,,,,,,,,,,,,,,,,,,,23.7598,183.416,0.35,,,,,,,,,,,,,,,,,,,25.1216,308.003,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,3.0151,1494.619,6.45,4.1727,109.172,0.47,4.9117,202.339,0.87,,,,,,,,,,,,,,,,,,,,,,13.2419,462.41,1.99,,,,,,,,,,,,,,,,15.3132,1138.07,4.91,,,,16.4991,949.447,4.09,,,,,,,,,,,,,17.7125,9443.525,40.73,17.9309,116.255,0.5,,,,18.4611,1781.843,7.68,,,,,,,,,,,,,19.8761,283.597,1.22,,,,,,,20.3959,143.848,0.62,20.6131,1672.479,7.21,,,,21.2719,259.243,1.12,21.3669,2028.461,8.75,,,,21.5519,128.95,0.56,,,,21.7402,121.428,0.52,,,,22.3939,111.439,0.48,,,,,,,,,,,,,,,,,,,,,,23.7544,191.574,0.83,,,,,,,,,,,,,,,,,,,25.115,85.63,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,3.0165,2787.114,11.16,4.2379,177.494,0.71,,,,5.0229,418.796,1.68,,,,,,,11.6024,105.877,0.42,,,,12.1641,175.133,0.7,,,,13.2655,1487.95,5.96,,,,,,,,,,,,,,,,,,,,,,16.5004,1118.167,4.48,,,,,,,,,,,,,,,,17.9058,113.621,0.45,18.177,104.288,0.42,,,,,,,,,,,,,19.4109,172.15,0.69,19.864,127.531,0.51,,,,,,,20.4705,1682.083,6.73,20.7117,7166.798,28.69,20.9062,133.153,0.53,21.2649,121.274,0.49,,,,,,,21.5466,87.789,0.35,,,,,,,,,,,,,,,,23.0391,71.438,0.29,,,,23.3104,85.122,0.34,,,,,,,,,,23.7542,116.999,0.47,,,,,,,,,,,,,,,,,,,25.1163,156.628,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,3.0182,5537.024,14.29,4.2385,351.618,0.91,4.8659,876.274,2.26,,,,,,,,,,11.6143,445.057,1.15,,,,12.1408,186.569,0.48,12.6727,168.099,0.43,13.2588,1042.126,2.69,,,,,,,,,,,,,,,,15.3011,424.994,1.1,,,,16.5014,656.754,1.69,16.7599,341.096,0.88,,,,,,,17.3617,2256.244,5.82,,,,17.9733,1768.169,4.56,18.2184,369.423,0.95,18.4113,204.333,0.53,,,,,,,18.9141,91.808,0.24,19.4571,94.776,0.24,,,,,,,,,,20.4713,2254.971,5.82,20.6715,3172.34,8.18,20.8117,100.405,0.26,21.2284,121.459,0.31,21.3427,319.782,0.83,,,,,,,,,,,,,21.912,99.054,0.26,,,,,,,22.998,76.817,0.2,23.1625,107.724,0.28,23.334,132.626,0.34,23.4584,62.766,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,3.0151,16610.456,29.19,4.0143,332.98,0.59,4.9054,335.124,0.59,,,,,,,,,,11.6071,578.544,1.02,,,,,,,,,,13.2432,600.071,1.05,13.7028,206.611,0.36,,,,,,,,,,,,,15.3371,1675.623,2.94,15.776,1015.644,1.78,16.5489,3948.061,6.94,16.6629,97.748,0.17,,,,,,,17.3482,2402.887,4.22,,,,17.9508,752.607,1.32,18.2149,632.237,1.11,18.4445,1240.769,2.18,,,,,,,18.9607,112.067,0.2,19.4493,187.503,0.33,,,,,,,,,,20.4047,257.172,0.45,20.6322,2118.676,3.72,20.7973,85.293,0.15,21.1066,574.744,1.01,,,,21.4254,6521.632,11.46,,,,21.5997,175.969,0.31,,,,21.9261,256.923,0.45,,,,,,,22.9968,71.308,0.13,23.1627,167.14,0.29,23.2748,129.192,0.23,23.4586,113.85,0.2,,,,,,,23.7351,119.39,0.21,23.8461,103.988,0.18,,,,,,,,,,,,,24.9821,116.119,0.2,25.1193,290.183,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,3.0144,2620.046,3.85,,,,4.8473,701.106,1.03,,,,,,,,,,11.6125,415.842,0.61,,,,12.1674,251.331,0.37,12.6795,1328.144,1.95,13.3033,3900.246,5.74,,,,14.2637,266.742,0.39,,,,,,,,,,15.4557,367.93,0.54,15.957,1286.464,1.89,16.2684,319.066,0.47,16.7061,21597.42,31.77,,,,,,,,,,,,,17.9571,179.654,0.26,18.2071,348.074,0.51,,,,18.6085,443.382,0.65,,,,18.9098,102.964,0.15,,,,19.9055,246.11,0.36,,,,,,,20.2917,108.551,0.16,20.5461,2054.521,3.02,20.7994,14920.518,21.95,21.1862,757.079,1.11,21.3205,891.143,1.31,,,,,,,21.6129,1748.611,2.57,,,,21.8881,133.398,0.2,,,,,,,22.9977,144.33,0.21,23.1612,169.784,0.25,23.3169,61,0.09,23.4627,150.931,0.22,,,,,,,23.7663,400.052,0.59,,,,,,,,,,,,,,,,24.944,149.986,0.22,25.1197,166.972,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,3.0153,14922.591,21.5,4.233,687.307,0.99,4.8239,252.599,0.36,,,,,,,,,,11.6383,2458.41,3.54,11.958,105.453,0.15,,,,,,,13.247,592.038,0.85,13.7087,207.202,0.3,,,,,,,,,,,,,15.3605,1147.159,1.65,15.7824,746.807,1.08,16.5518,4438.765,6.4,16.7476,162.868,0.23,,,,,,,17.4789,12486.552,17.99,17.9003,237.98,0.34,18.0445,2052.999,2.96,18.1886,1212.783,1.75,18.4534,701.675,1.01,,,,,,,18.9746,278.078,0.4,19.5303,76.698,0.11,19.8825,153.397,0.22,,,,,,,20.4496,1207.696,1.74,20.6609,3106.147,4.48,20.8118,187.077,0.27,21.2572,408.944,0.59,21.3768,1776.676,2.56,,,,21.5693,94.294,0.14,,,,,,,21.9434,859.948,1.24,,,,,,,,,,23.1647,176.759,0.25,23.2736,59.503,0.09,23.4597,103.61,0.15,,,,,,,23.7385,141.913,0.2,,,,,,,,,,,,,,,,,,,25.1202,215.14,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
