"Garden Plant ID","C002","C003","C006","C007","C008","C010","C012","C013","C014","C016","C018","C019","C020","C021","C022","C025","C026","C028","C029","C030","C031","C032","C033","C034","C035","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C048","C049","C050","C051","C052","C053","C054","C055","C057","C063","C065","C067","C068","C069"
6,57104.61894,23.09468822,23.09468822,23.09468822,23.09468822,23.09468822,23252.00924,13771.27021,23.09468822,9573.995381,6855.334873,23.09468822,8042.771363,37750.90069,99279.39954,23.09468822,24239.81524,23.09468822,23.09468822,23.09468822,23.09468822,23.09468822,23.09468822,23.09468822,10181.24711,23.09468822,23.09468822,414518.1524,9509.422633,23.09468822,23.09468822,23.09468822,34081.66282,34635.15012,23.09468822,23.09468822,17419.03002,23.09468822,23.09468822,23.09468822,23.09468822,23.09468822,23.09468822,7713.441109,23.09468822,11852.00924,23.09468822,7097.644342,23.09468822
10,22599.49469,128165.0328,25.2652855,25.2652855,25.2652855,27018.39313,25.2652855,60112.63264,25.2652855,241230.6721,25.2652855,14228.24659,25.2652855,25.2652855,216059.3734,39085.49773,62886.55887,13459.77767,12018.14047,25.2652855,18707.88277,4938.655887,25.2652855,25.2652855,25.2652855,25.2652855,90073.16827,262467.0541,25.2652855,12452.75392,25.2652855,25.2652855,37406.1142,17830.31834,25.2652855,25.2652855,29640.37393,5000.757959,13396.26074,3366.548762,25.2652855,9064.224356,25.2652855,6193.683679,7850.732693,20662.35472,19270.54068,13939.36331,25.2652855
15,23667.09845,114284.6114,25227.3057,25.90673575,25.90673575,70179.11917,25.90673575,27390.62176,25.90673575,532174.5596,25.90673575,25.90673575,25.90673575,25.90673575,81628.54922,20048.80829,72969.43005,10982.59067,11052.53886,25.90673575,25.90673575,8584.766839,25.90673575,8713.419689,25.90673575,25.90673575,173548.1347,10019.63731,25.90673575,28856.58031,25.90673575,23742.6943,25.90673575,8115.958549,25.90673575,4800.259067,26669.27461,8693.108808,21727.35751,4256.217617,25.90673575,13126.21762,25.90673575,3207.409326,25.90673575,4741.813472,25.90673575,4093.989637,25.90673575
20,7486.464231,161853.1137,35562.22337,12010.7051,25.73340196,15060.6279,25.73340196,25.73340196,25.73340196,20060.73083,25.73340196,31592.74318,25.73340196,25.73340196,111011.7344,187259.0324,9957.797221,17727.27741,11878.33248,25.73340196,25237.6737,25.73340196,7015.697375,25.73340196,25.73340196,8447.864128,6435.975296,25.73340196,60562.0175,13255.79002,5028.615543,25.73340196,99410.55069,8980.957283,25.73340196,25.73340196,11099.63973,3080.494081,13438.18837,25.73340196,9765.156974,6601.183736,25.73340196,3937.056099,9894.390118,25.73340196,25.73340196,12860.26763,25.73340196
23,32280.50351,99302.69321,29.27400468,29.27400468,29.27400468,11086.76815,29.27400468,91644.08665,29.27400468,142317.1546,29.27400468,29.27400468,29.27400468,29.27400468,63846.60422,7545.316159,23612.76347,29.27400468,29.27400468,29.27400468,29.27400468,29.27400468,29.27400468,29.27400468,29.27400468,29.27400468,78910.53864,6346.428571,29.27400468,4676.17096,29.27400468,6320.081967,29.27400468,5707.025761,29.27400468,29.27400468,31375.29274,3696.018735,5712.64637,4388.056206,29.27400468,29.27400468,7110.538642,6065.398126,9021.194379,28731.03044,8652.751756,15933.19672,29.27400468
25,27.45744097,176761.5596,27.45744097,27.45744097,27.45744097,32638.87974,27.45744097,13711.75178,27.45744097,25510.7084,27.45744097,39295.38715,27.45744097,27.45744097,112890.939,150217.2982,8914.827018,27.45744097,31043.10818,25830.36793,28411.86161,27.45744097,6497.968149,6806.260297,27.45744097,9564.360242,7783.415706,47662.60297,27.45744097,14331.96046,27.45744097,4236.518396,113801.8671,10357.88029,27.45744097,27.45744097,14567.49039,27.45744097,10989.12685,27.45744097,11576.55135,5151.839649,27.45744097,3831.740802,8431.905546,8821.526634,27.45744097,11057.82537,27.45744097
43,36510.59972,51132.63598,23.24500232,23.24500232,23.24500232,60842.21292,21156.7643,48821.01348,23.24500232,233769.2701,5340.260344,23.24500232,23.24500232,6779.079498,262589.2143,3952.440725,31133.05439,8714.597861,8791.910739,23.24500232,23.24500232,23.24500232,23.24500232,6625.011623,23.24500232,23.24500232,38818.45653,201084.7513,23.24500232,6638.726174,6303.85867,23.24500232,10669.08415,26181.72943,9274.012087,23.24500232,8776.615528,23.24500232,23.24500232,23.24500232,23.24500232,23.24500232,23.24500232,23.24500232,4358.763366,45542.39888,21581.63645,24236.40167,23.24500232
47,36593.26158,23.39728591,23.39728591,23.39728591,23.39728591,15993.54235,24981.14179,165352.8311,23.39728591,47988.72251,8329.012635,23.39728591,7471.642489,10553.25222,466889.1905,23.39728591,18280.90781,23.39728591,23.39728591,23.39728591,23.39728591,23.39728591,23.39728591,23.39728591,23.39728591,23.39728591,4245.109967,519569.1624,23.39728591,23.39728591,17523.02293,23.39728591,45173.2335,32153.4394,7922.554984,23.39728591,21914.59991,23.39728591,23.39728591,23.39728591,23.39728591,23.39728591,23.39728591,5745.624708,23.39728591,25419.93449,23.39728591,5509.171736,23.39728591
48,19.6155355,40516.24166,19.6155355,19.6155355,19.6155355,26857.74814,24633.89565,84316.75167,19.6155355,142535.7395,19.6155355,19.6155355,5673.283641,19.6155355,186837.1518,8112.318556,41856.64967,19.6155355,6314.986269,6540.957238,19.6155355,19.6155355,19.6155355,19.6155355,19.6155355,19.6155355,34002.3931,298644.7627,19.6155355,7291.486858,10152.92271,19.6155355,18080.97293,13462.61279,4318.477834,19.6155355,9895.292271,19.6155355,3687.956061,19.6155355,19.6155355,4706.002354,19.6155355,5424.048647,3128.403295,21144.25265,9268.772067,8864.299725,19.6155355
63,18266.41986,155179.7474,19429.22474,21.77700348,21.77700348,96921.42857,21.77700348,16444.12021,21.77700348,55632.27352,21.77700348,23699.34669,8516.594077,21.77700348,209962.9355,471009.8868,24272.12544,21.77700348,38909.32056,27403.35366,12157.22997,21.77700348,8266.811847,10898.56272,21.77700348,21.77700348,20726.95993,65703.44077,91765.11324,10656.14111,21.77700348,7000.479094,37621.34146,15025.43554,21.77700348,21.77700348,16702.13415,21.77700348,8575.043554,21.77700348,3834.538328,21.77700348,21.77700348,2829.573171,3485.409408,21997.60453,21.77700348,3547.560976,21.77700348
64,247201.5704,152580.3702,28.04262479,28.04262479,28.04262479,37275.82726,28.04262479,34884.18396,28.04262479,315358.4408,28.04262479,27852.94448,7357.206955,9854.739204,408776.3881,28.04262479,20138.53057,28.04262479,14420.30286,12190.74593,28.04262479,28.04262479,28.04262479,28.04262479,11641.39091,12558.60909,120065.5076,223657.263,24914.69434,30827.87437,28.04262479,28.04262479,69098.71004,52010.03926,28.04262479,28.04262479,16050.42064,28.04262479,3850.925407,5124.67751,28.04262479,8534.099832,28.04262479,7769.77005,7837.18452,72208.86147,64706.4498,33638.25014,28.04262479
70,28979.09261,161171.5622,23.38634238,23.38634238,23.38634238,119207.811,23.38634238,6845.977549,23.38634238,22500.98223,23.38634238,21258.51263,23.38634238,23.38634238,64980.54256,151751.1693,5052.057998,7531.618335,26890.69224,21131.3377,11274.50889,23.38634238,8591.393826,23.38634238,8633.44247,23.38634238,12063.61085,35185.7811,33689.71001,12459.49486,23.38634238,4691.81478,34669.50421,6079.747428,23.38634238,23.38634238,18670.81384,23.38634238,23.38634238,23.38634238,7370.018709,23.38634238,23.38634238,23.38634238,23.38634238,14331.05706,23.38634238,6699.953227,23.38634238
71,11798.93855,126622.2905,27.93296089,27.93296089,27.93296089,73071.45251,27.93296089,12850.22346,27.93296089,35469.49721,27.93296089,21653.29609,27.93296089,27.93296089,38895.19553,217293.352,8963.184358,27.93296089,38605.86592,28744.69274,11946.92737,27.93296089,13065.19553,27.93296089,9031.955307,27.93296089,15715.53073,61098.49162,51794.86034,17084.7486,27.93296089,8911.22905,28100.50279,4005.977654,27.93296089,27.93296089,18965.64246,27.93296089,4484.134078,27.93296089,8275.251397,27.93296089,27.93296089,27.93296089,27.93296089,19680.27933,5816.145251,8169.162011,27.93296089
72,43437.51783,23.77555873,23.77555873,23.77555873,23.77555873,7706.847361,23.77555873,24903.85164,23.77555873,59776.41465,23.77555873,27626.43842,23.77555873,23.77555873,66739.99049,23.77555873,23.77555873,23.77555873,23.77555873,23.77555873,100878.9349,23.77555873,23.77555873,23.77555873,23.77555873,23.77555873,27663.24299,125196.8141,23.77555873,5079.457917,23.77555873,23.77555873,205162.8626,23.77555873,18144.50785,23.77555873,23.77555873,23.77555873,3373.514028,23.77555873,23.77555873,23.77555873,23.77555873,4266.476462,6368.283405,9643.461721,23.77555873,28219.92392,23.77555873
84,20633.72434,85311.7721,20.94679514,20.94679514,20.94679514,37401.50817,20.94679514,16975.45036,20.94679514,94745.37076,20.94679514,8859.321324,20.94679514,20.94679514,142378.5505,65816.25471,18731.12694,20.94679514,19030.79179,15812.23293,4838.206954,20.94679514,20.94679514,20.94679514,5384.876414,20.94679514,34469.12442,12478.92752,20.94679514,10911.43695,20.94679514,20.94679514,8907.331378,12036.36364,20.94679514,20.94679514,16021.32384,20.94679514,3568.537914,20.94679514,20.94679514,3302.136573,20.94679514,20.94679514,20.94679514,13666.61081,20.94679514,20.94679514,20.94679514
93,28372.26509,156899.6823,28700.77167,22.6963232,22.6963232,79488.92419,22.6963232,22.6963232,22.6963232,44644.75715,22.6963232,11610.71266,22.6963232,22.6963232,14329.45983,227834.0445,48639.58239,16417.83931,9825.828416,11104.90241,7898.638221,22.6963232,22.6963232,6910.621879,22.6963232,22.6963232,41527.64412,22.6963232,40290.7399,9164.049024,22.6963232,4857.694054,19671.53881,4294.734453,22.6963232,22.6963232,18070.63096,4403.359056,17653.88107,22.6963232,7078.574671,7366.908761,22.6963232,3661.960962,22.6963232,34684.88425,22.6963232,7105.764866,4356.468452
101,21745.96811,218061.959,33458.54214,17608.06378,12979.22551,50511.8451,22.77904328,22.77904328,22.77904328,50879.04328,22.77904328,32726.92483,17496.6287,22.77904328,130661.7312,347653.4396,13986.69704,22.77904328,49689.93166,31893.39408,16333.98633,22.77904328,16318.31435,22.77904328,8917.129841,7127.425968,23242.14123,7006.013667,102827.6993,23575.85421,22.77904328,8973.712984,71488.06378,10740.41002,10732.66515,22.77904328,8413.986333,22.77904328,7673.166287,22.77904328,9018.132118,5600.364465,22.77904328,4065.102506,4722.915718,30335.03417,22.77904328,4585.46697,22.77904328
102,22644.78503,19.9044586,19.9044586,19.9044586,19.9044586,19.9044586,53645.1035,167670.9395,19.9044586,39105.25478,4939.729299,19.9044586,6030.095541,19.9044586,253789.6497,19.9044586,9096.138535,6329.936306,19.9044586,19.9044586,19.9044586,19.9044586,19.9044586,19.9044586,19.9044586,19.9044586,19.9044586,430871.7357,19.9044586,19.9044586,3480.055732,19.9044586,36415.76433,12553.50318,11726.99045,19.9044586,7174.601911,19.9044586,19.9044586,19.9044586,19.9044586,19.9044586,19.9044586,35019.34713,19.9044586,6663.495223,6250.995223,3049.442675,19.9044586
111,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,19168.36007,119440.3743,22.28163993,17030.08021,8211.898396,22.28163993,8095.989305,22.28163993,287686.6756,22.28163993,12891.35472,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,498965.0624,22.28163993,22.28163993,5295.142602,22.28163993,24246.92513,19811.22995,9720.721925,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,22.28163993,3765.998217,11642.24599,41943.04813,27838.45811,21213.68093,22.28163993
120,26580.8443,22.6963232,22.6963232,22.6963232,22.6963232,22510.66727,14500.36314,80810.84884,41171.17567,44354.42578,22.6963232,22.6963232,22.6963232,22.6963232,128584.2034,41676.57739,19187.38084,31064.91148,22.6963232,22.6963232,22.6963232,22.6963232,22.6963232,22.6963232,22.6963232,22.6963232,5478.574671,235321.0622,22.6963232,22.6963232,6984.067181,22.6963232,20732.50113,8825.011348,22.6963232,22.6963232,6671.992737,22.6963232,22.6963232,2900.499319,22.6963232,22.6963232,22.6963232,3857.921017,22.6963232,11366.27326,3416.477531,5905.129369,5297.094871
121,49300.86705,54794.99037,24.08477842,24.08477842,24.08477842,24580.5395,12618.88247,24.08477842,24.08477842,160499.3738,24.08477842,24.08477842,8801.156069,24.08477842,332023.0732,138559.6339,18875.67437,6883.092486,24.08477842,24.08477842,12346.09827,24.08477842,691796.6281,24.08477842,24.08477842,24.08477842,5058.188825,5840.992293,24.08477842,6722.928709,5598.651252,24.08477842,21482.41811,21080.15414,24.08477842,24.08477842,10167.82274,24.08477842,5789.450867,24.08477842,24.08477842,24.08477842,24.08477842,24.08477842,24.08477842,31091.66667,5108.766859,8737.427746,24.08477842
122,130621.0609,221431.5651,39604.35924,21684.97899,26.2605042,31893.17227,26.2605042,57341.80672,26.2605042,13080.46218,26.2605042,26748.26681,15338.18277,26.2605042,111344.0126,322292.542,18618.48739,26.2605042,11110.92437,12949.05462,19060.08403,26.2605042,26.2605042,26.2605042,26.2605042,26.2605042,7063.760504,6936.397059,55604.83193,10285.03151,6976.155462,26.2605042,40558.92857,12458.35084,9406.512605,26.2605042,26.2605042,4186.554622,14216.28151,4796.901261,11573.47689,10842.7521,26.2605042,20648.0042,26.2605042,31088.02521,20859.40126,13255.35714,26.2605042
126,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,23295.0951,26430.43043,29225.12513,25.02502503,53884.68468,25.02502503,25.02502503,6823.073073,25.02502503,210296.046,25.02502503,36001.2012,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,8883.683684,287175.2753,25.02502503,25.02502503,8206.956957,25.02502503,12447.8979,21419.61962,14723.17317,25.02502503,13696.1962,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,25.02502503,36696.5966,25.02502503,27546.1962,25.02502503
130,37518.77432,39498.63813,24.31906615,24.31906615,24.31906615,19486.8677,24.31906615,24.31906615,24.31906615,71376.16732,24.31906615,24.31906615,24.31906615,24.31906615,35835.40856,55856.71206,27695.57393,24.31906615,8747.811284,9068.190661,24.31906615,24.31906615,24.31906615,24.31906615,24.31906615,24.31906615,20615.85603,24.31906615,24.31906615,10743.6284,24.31906615,24.31906615,24.31906615,24.31906615,24.31906615,24.31906615,6570.57393,24.31906615,4669.601167,24.31906615,24.31906615,4618.531128,24.31906615,24.31906615,24.31906615,14812.69455,6835.214008,13717.65564,24.31906615
131,43875.46099,60899.19622,23.64066194,23.64066194,23.64066194,25980.37825,23.64066194,36836.50118,7190.212766,106596.5012,23.64066194,23.64066194,23.64066194,23.64066194,51642.64775,113149.2671,51750.6383,44236.64303,5495.224586,23.64066194,23.64066194,23.64066194,23.64066194,23.64066194,23.64066194,23.64066194,35213.90071,5547.234043,23.64066194,6821.654846,23.64066194,23.64066194,23.64066194,4241.891253,23.64066194,23.64066194,8989.598109,2754.468085,7569.503546,23.64066194,23.64066194,23.64066194,5523.167849,23.64066194,3597.966903,7626.382979,2806.052009,7216.832151,16340.94563
132,22.96738631,43397.7492,22.96738631,22.96738631,22.96738631,50976.34359,30245.33762,37120.76252,22.96738631,105421.6812,22.96738631,22.96738631,9044.924208,22.96738631,256924.9426,11419.88976,78960.40423,9671.244832,7134.405145,22.96738631,22.96738631,22.96738631,22.96738631,22.96738631,6398.759761,22.96738631,16471.24483,338828.0661,22.96738631,7949.839228,8668.810289,22.96738631,14033.16491,26399.81626,8905.420303,22.96738631,7543.867708,22.96738631,6046.348186,22.96738631,22.96738631,3299.770326,22.96738631,22.96738631,22.96738631,58637.3909,22.96738631,17784.65779,22.96738631
