"Plant","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"UTV.3.5",296.987,4089.991,NA,NA,789.594,281.178,551.472,253.881,295.824,NA,NA,384.577,NA,NA,357.18,NA,NA,777.103,352.465,NA,2732.291,NA,NA,2707.42,216.993,NA,NA,350.629,245.803,582.91,NA,NA,NA,151.888,NA,235.591,126.73,85.328,1393.958,365.544,NA,NA,3144.035,285.408,NA,NA,NA,229.81,53.46,164.828,76.46,171.876,122.289,NA,NA,105.381,NA,NA,NA,NA,NA,210.191,NA,207.642,NA,NA,249.477,NA,NA,NA,NA,NA,NA
"WAT.2.3",1022.986,1137.044,NA,NA,NA,NA,NA,NA,509.792,NA,261.468,NA,NA,NA,3331.467,NA,NA,NA,182.212,NA,6892.299,NA,NA,2875.998,391.359,NA,142.393,NA,NA,255.805,NA,14361.198,NA,NA,NA,NA,104.508,120.759,NA,139.068,115.728,NA,445.475,437.124,NA,NA,NA,210.584,NA,119.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644.963,NA,105.558,180.889,NA,NA,NA,NA,NA,NA
"ORTW.2.1",927.466,1287.518,NA,NA,NA,NA,NA,NA,548.985,NA,NA,778.592,151.573,NA,2254.016,NA,NA,NA,NA,NA,1091.742,NA,NA,2392.607,1094.026,NA,935.105,115.724,NA,NA,NA,NA,NA,NA,NA,NA,744.274,116.824,NA,143.778,NA,NA,NA,89.216,NA,NA,NA,189.63,57.757,159.595,NA,NA,NA,116.315,NA,NA,NA,NA,NA,NA,NA,75.597,NA,160.798,NA,58.848,152.136,345.111,148.925,NA,NA,NA,NA
"UTT.1.8",316.133,3039.178,NA,NA,NA,NA,NA,NA,635.822,NA,NA,1274.823,NA,NA,645.065,NA,NA,682.707,244.599,NA,1348.896,NA,NA,4045.603,195.786,NA,NA,880.646,711.938,491.374,NA,NA,199.17,159.189,NA,NA,172.411,93.833,647.498,311.292,75.383,NA,3009.958,188.637,160.148,122.912,NA,471.704,73.817,178.651,NA,198.68,78.5,NA,NA,498.036,NA,NA,NA,NA,NA,NA,NA,385.035,NA,NA,79.545,NA,NA,NA,NA,NA,NA
"NMT.2.5",633.061,3086.591,NA,NA,545.142,NA,NA,NA,2281.717,NA,197.13,977.469,NA,NA,5502.897,NA,NA,272.704,181.094,NA,4746.065,NA,NA,2232.258,1101.74,NA,NA,442.108,366.913,128.906,111.05,NA,117.84,173.429,NA,NA,2117.48,5493.289,510.066,340.467,NA,120.522,375.267,389.993,NA,151.486,106.909,411.895,114.33,295.598,NA,NA,146.745,NA,NA,125.328,NA,NA,NA,NA,NA,70.696,NA,380.452,NA,NA,148.499,NA,NA,NA,NA,NA,NA
"UTT.1.5",399.753,1596.315,NA,NA,NA,NA,NA,NA,313.48,NA,NA,1370.219,2313.761,NA,1088.011,NA,NA,NA,145.96,NA,4114.135,NA,NA,2054.18,371.383,NA,962.757,95.651,NA,NA,NA,NA,NA,NA,NA,NA,439.193,5160.686,193.627,127.353,NA,NA,228.307,319.239,NA,NA,NA,319.773,NA,52.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.112,NA,211.287,NA,123.796,406.217,123.574,NA,NA,NA,NA,NA
"CAVW.3.1",290.918,3028.827,NA,NA,784.65,258.479,NA,NA,1148.948,NA,180.947,440.78,NA,NA,3436.386,NA,NA,782.993,NA,NA,1944.759,NA,NA,3008.677,968.385,NA,NA,323.232,322.874,1182.131,85.39,NA,NA,NA,NA,179.536,1256.01,3762.332,512.04,315.582,NA,NA,6929.535,197.055,NA,84.16,NA,137.927,231.061,594.52,NA,NA,255.4,NA,NA,135.513,NA,NA,NA,NA,NA,58.586,NA,159.507,NA,NA,121.486,NA,NA,77.114,NA,NA,NA
"CAT.2.7",1055.939,2172.391,NA,NA,NA,NA,NA,NA,2566.353,NA,714.876,1499.555,NA,NA,3127.426,NA,NA,NA,280.064,NA,10286.657,NA,NA,359.154,2432.908,NA,113.225,148.609,NA,126.623,100.55,NA,NA,NA,NA,NA,1490.34,6723.375,NA,136.353,318.736,NA,499.598,790.357,83.542,NA,NA,212.301,106.219,216.386,NA,NA,172.36,NA,NA,85.787,NA,NA,NA,NA,NA,172.001,NA,1087.165,63.871,152.863,623.466,68.726,NA,NA,NA,NA,NA
"CAV.1.10",786.088,3514.869,NA,NA,599.378,NA,595.296,NA,699.505,NA,NA,182.146,NA,NA,473.392,NA,NA,466.669,NA,NA,114.437,NA,NA,2091.571,NA,NA,681.142,465.071,NA,180.829,NA,188.898,133.625,NA,NA,NA,117.959,1089.994,NA,173.736,NA,225.559,NA,NA,NA,NA,NA,535.824,61.11,187.674,NA,149.575,NA,135.104,NA,82.543,NA,NA,NA,NA,NA,NA,NA,110.228,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.7",889.071,3283.547,NA,NA,762.535,NA,NA,NA,923.639,NA,NA,530.858,335.575,NA,2062.173,NA,NA,227.188,NA,NA,381.845,NA,NA,5146.652,2401.005,NA,898.725,310.363,302.123,177.484,101.568,NA,NA,272.66,NA,NA,2064.484,81.843,799.627,NA,NA,NA,582.934,77.979,NA,NA,NA,521.467,169.643,466.623,NA,NA,188.767,NA,NA,134.49,NA,NA,NA,NA,NA,NA,NA,333.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
