"Plant","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074"
"NMT.1.9",NA,2315.351,125.069,NA,1068.185,NA,NA,261.924,NA,NA,NA,97.543,NA,NA,NA,NA,NA,335.659,101.324,2787.727,NA,NA,NA,NA,NA,549.442,366.918,126.632,NA,NA,NA,155.408,NA,NA,NA,1295.976,1310.44,492.162,443.872,117.758,NA,201.962,NA,NA,NA,NA,115.926,NA,NA,113.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.2",NA,3412.864,225.455,NA,834.076,NA,NA,1533.888,NA,182.541,217.217,3128.403,NA,444.824,4992.382,NA,NA,124.82,206.213,4326.201,287.948,NA,NA,1297.332,NA,1824.524,229.113,NA,NA,NA,NA,846.316,140.471,NA,NA,901.521,195.104,266.4,237.052,118.968,NA,212.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.964,NA,NA,NA,NA,NA,NA,143.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.6",NA,3617.929,281.311,NA,NA,NA,NA,632.93,NA,174.037,250.07,1499.607,NA,NA,NA,NA,NA,120.835,427.842,NA,9124.639,NA,NA,NA,NA,744.193,194.346,NA,158.924,NA,113.829,322.829,538.108,NA,NA,185.31,510.453,154.557,206.106,571.965,NA,1061.304,NA,NA,252.95,NA,151.162,NA,NA,83.006,NA,NA,NA,90.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.1",NA,959.687,108.057,NA,621.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.822,134.024,1209.591,96.856,NA,NA,NA,NA,334.93,319.679,286.009,NA,NA,137.459,173.763,311.468,NA,NA,1995.71,1109.328,211.358,706.024,1554.343,NA,336.343,NA,NA,NA,NA,322.458,60.294,92.71,NA,NA,NA,NA,223.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.1.6",NA,2737.233,137.376,NA,NA,NA,NA,425.832,NA,NA,NA,135.67,NA,NA,NA,NA,NA,266.962,NA,1214.072,NA,NA,NA,NA,NA,875.124,131.306,302.578,NA,NA,NA,95.315,NA,NA,NA,791.96,2081.204,330.626,72.471,940.644,NA,159.266,NA,NA,142.741,NA,NA,NA,NA,132.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.1.6",NA,6420.564,124.224,NA,NA,127.794,NA,839.952,NA,NA,NA,421.248,103.604,NA,NA,116.438,NA,2010.95,478.951,3584.148,177.048,NA,NA,4989.049,NA,1256.904,969.07,2039.213,131.601,NA,NA,454.988,328.098,NA,NA,341.13,4978.763,NA,683.376,287.455,4362.849,NA,324.554,NA,212.858,NA,NA,67.25,167.322,70.38,163.3,NA,NA,327.464,NA,NA,NA,NA,NA,NA,80.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.3.5",NA,4194.44,196.533,NA,NA,NA,NA,387.158,NA,NA,NA,220.184,NA,NA,NA,NA,NA,2137.651,NA,2157.467,NA,NA,NA,NA,NA,590.183,400.721,763.551,NA,NA,NA,141.379,NA,NA,NA,1117.307,3923.778,430.425,575.916,NA,6984.852,NA,304.532,NA,174.704,136.153,NA,54.167,70.854,146.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZT.1.7",NA,4427.94,167.614,567.036,NA,NA,NA,599.557,NA,NA,135.666,788.14,NA,NA,NA,NA,NA,609.706,147.625,2752.092,110.621,NA,NA,4000.412,NA,474.055,772.422,399.061,NA,NA,129.935,290.413,167.868,NA,NA,1333.352,1215.762,1279.914,172.067,291.244,NA,205.83,NA,NA,NA,NA,117.765,NA,114.37,105.392,52.837,NA,NA,90.624,NA,NA,NA,NA,NA,NA,274.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.3.10",NA,5537.024,351.618,876.274,NA,NA,NA,445.057,NA,186.569,168.099,1042.126,NA,NA,NA,NA,NA,424.994,NA,656.754,341.096,NA,NA,2256.244,NA,1768.169,369.423,204.333,NA,NA,91.808,94.776,NA,NA,NA,2254.971,3172.34,100.405,121.459,319.782,NA,NA,NA,NA,99.054,NA,NA,76.817,107.724,132.626,62.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COW.1.2",NA,2620.046,NA,701.106,NA,NA,NA,415.842,NA,251.331,1328.144,3900.246,NA,266.742,NA,NA,NA,367.93,1286.464,319.066,21597.42,NA,NA,NA,NA,179.654,348.074,NA,443.382,NA,102.964,NA,246.11,NA,NA,108.551,2054.521,14920.518,757.079,891.143,NA,NA,1748.611,NA,133.398,NA,NA,144.33,169.784,61,150.931,NA,NA,400.052,NA,NA,NA,NA,NA,149.986,166.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDW.1.5",NA,14922.591,687.307,252.599,NA,NA,NA,2458.41,105.453,NA,NA,592.038,207.202,NA,NA,NA,NA,1147.159,746.807,4438.765,162.868,NA,NA,12486.552,237.98,2052.999,1212.783,701.675,NA,NA,278.078,76.698,153.397,NA,NA,1207.696,3106.147,187.077,408.944,1776.676,NA,94.294,NA,NA,859.948,NA,NA,NA,176.759,59.503,103.61,NA,NA,141.913,NA,NA,NA,NA,NA,NA,215.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDT.1.2",NA,3971.067,NA,NA,727.284,NA,NA,157.986,NA,NA,NA,161.792,NA,NA,NA,NA,NA,838.991,235.501,993.81,102.734,NA,NA,NA,NA,641.637,524.341,288.081,NA,NA,NA,355.138,212.449,NA,NA,318.796,4518.194,1825.453,103.917,541.814,NA,272.488,NA,NA,120.84,NA,78.731,NA,NA,64.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTW.1.10",NA,2998.706,524.145,NA,NA,NA,NA,300.74,NA,106.243,812.384,2209.388,NA,161.432,NA,NA,NA,95.117,365.367,NA,10147.25,NA,NA,NA,247.566,137.077,211.528,NA,162.181,NA,358.515,270.325,382.272,NA,NA,111.711,1512.323,19772.135,742.97,1250.955,NA,591.168,NA,NA,89.764,NA,NA,NA,149.235,NA,65.349,NA,NA,211.261,NA,NA,NA,NA,NA,NA,221.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.6",NA,3167.452,195.616,NA,NA,NA,NA,114.614,NA,NA,NA,114.251,NA,NA,NA,NA,NA,330.883,389.524,659.486,NA,NA,NA,NA,140.592,NA,93.969,227.624,NA,NA,151.916,NA,NA,NA,NA,156.92,826.307,387.033,122.701,1538.292,NA,NA,NA,NA,571.192,NA,NA,NA,NA,69.714,NA,NA,NA,104.711,84.13,NA,NA,NA,NA,NA,77.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZTW.1.7",NA,1150.067,NA,678.934,NA,NA,NA,131.489,NA,NA,564.775,NA,NA,NA,NA,NA,NA,205.668,NA,750.456,160.555,NA,927.496,NA,NA,1168.17,425.151,118.17,NA,NA,NA,NA,NA,NA,NA,1152.442,827.363,138.514,490.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
