"C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073","C074"
NA,1235.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,502.906,297.648,NA,NA,206.777,NA,147.918,NA,173.626,816.807,2148.899,NA,NA,NA,524.292,NA,NA,NA,NA,NA,NA,NA,NA,219.924,NA,NA,NA,8973.818,205.379,NA,NA,NA,737.368,749.351,NA,NA,NA,376.622,NA,NA,NA,NA,NA,NA,NA,166.496,4742.624,NA,NA,NA,NA,NA,NA,256.096,NA,NA,153.164,NA,NA,NA,NA,NA,NA
NA,446.744,2535.886,NA,NA,NA,NA,NA,NA,534.194,NA,NA,1189.129,NA,NA,4773.455,NA,NA,281.077,NA,NA,4275.315,NA,NA,773.002,1244.025,NA,265.869,237.339,NA,369.729,97.236,NA,NA,NA,NA,NA,1782.048,5193.723,NA,245.94,NA,NA,739.767,352.362,NA,NA,NA,586.083,98.465,264.612,66.124,NA,178.881,NA,NA,122.073,NA,NA,NA,NA,NA,154.866,NA,408.408,NA,380.864,275.36,NA,NA,NA,NA,NA,NA
NA,456.275,2205.193,NA,NA,486.387,NA,NA,NA,1353.957,NA,NA,528.139,NA,NA,10270.469,NA,NA,NA,NA,NA,1574.931,NA,NA,386.442,1407.81,NA,211.464,212.814,NA,NA,165.186,NA,167.669,NA,NA,NA,3348.979,192.879,NA,556.432,NA,457.734,NA,156.138,NA,NA,92.145,514.217,167.277,418.838,81.645,NA,252.836,NA,NA,61.403,NA,NA,NA,NA,NA,NA,NA,91.017,NA,NA,78.514,NA,NA,NA,NA,NA,NA
NA,620.085,1294.72,NA,NA,NA,NA,NA,NA,1017.19,NA,617.121,2142.559,NA,NA,3902.043,NA,NA,NA,NA,160.459,6377.122,NA,NA,NA,564.212,NA,161.266,162.371,NA,NA,NA,NA,NA,148.802,NA,NA,1260.759,8891.673,NA,216.507,310.388,77.153,428.357,468.806,112.366,NA,NA,263.473,NA,118.478,NA,NA,126.316,NA,NA,199.935,NA,NA,NA,NA,NA,234.854,NA,NA,NA,NA,100.969,NA,NA,NA,NA,NA,NA
NA,144.962,3144.306,NA,NA,690.474,232.868,NA,NA,292.128,NA,NA,NA,NA,NA,389.28,NA,NA,613.347,NA,NA,2156.458,NA,NA,3637.943,192.98,NA,343.941,230.296,NA,489.868,NA,135.815,NA,NA,NA,163.642,124.551,NA,1176.22,257.06,97.206,NA,1931.047,174,NA,NA,NA,215.166,59.354,260.604,NA,189.237,127.761,NA,NA,75.997,NA,NA,NA,NA,NA,191.748,NA,NA,NA,NA,249.375,NA,NA,NA,NA,NA,NA
NA,550.851,1695.59,NA,NA,NA,NA,NA,NA,188.862,NA,NA,1564.781,NA,NA,2430.277,NA,NA,NA,NA,NA,1090,NA,NA,128.374,402.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1347.292,107.897,NA,79.369,NA,107.447,NA,96.976,NA,NA,NA,535.39,62.628,97.072,74.448,NA,NA,120.948,NA,103.097,NA,NA,NA,NA,NA,153.582,NA,490.226,NA,147.289,271.639,NA,NA,NA,NA,NA,NA
NA,NA,3218.328,NA,NA,NA,NA,NA,NA,593.854,NA,NA,249.191,NA,NA,464.05,NA,NA,715.069,NA,NA,2055.244,NA,NA,2734.957,161.839,NA,NA,564.795,469.871,516.88,NA,117.828,123.442,NA,NA,173.667,141.236,867.436,NA,260.485,NA,76.647,2071.832,188.117,NA,NA,NA,264.774,NA,199.612,NA,210.309,93.315,NA,NA,69.276,NA,NA,NA,NA,NA,153.045,NA,160.14,NA,NA,200.863,NA,NA,NA,NA,NA,NA
NA,352.089,2432.204,NA,NA,520.46,NA,NA,NA,1090.285,NA,184.813,425.616,NA,NA,2844.991,NA,NA,652.29,NA,NA,2396.956,NA,NA,1925.378,859.56,NA,268.03,206.428,NA,1023.486,NA,NA,NA,NA,NA,NA,1024.729,4100.087,544.985,184.534,75.146,NA,3017.162,295.796,NA,103.116,NA,421.131,193.658,510.556,NA,NA,165.425,NA,NA,122.333,NA,NA,NA,NA,NA,NA,NA,263.654,NA,87.302,123.761,NA,NA,NA,NA,NA,NA
NA,NA,2152.866,NA,NA,NA,NA,NA,NA,581.132,NA,138.408,178.474,NA,NA,364.996,NA,NA,772.194,NA,NA,389.987,NA,NA,1355.731,NA,NA,NA,231.88,NA,278.17,NA,139.26,146.406,NA,NA,NA,142.275,1892.552,939.305,174.99,104.357,NA,2729.7,81.174,NA,NA,NA,337.164,NA,81.811,NA,123.284,88.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231.085,NA,NA,131.879,NA,NA,NA,NA,NA,NA
NA,784.843,1099.363,NA,NA,NA,NA,NA,NA,1308.216,NA,454.582,1049.64,NA,NA,5027.877,NA,114.369,NA,NA,145.318,5647.794,NA,NA,84.517,669.172,NA,186.951,188.614,NA,NA,NA,NA,142.004,NA,NA,NA,834.485,4324.833,NA,142.299,135.096,NA,228.992,562.669,198.984,NA,NA,188.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.257,NA,979.117,71.457,463.721,520.825,NA,NA,NA,NA,NA,NA
NA,781.498,NA,NA,NA,NA,NA,NA,NA,341.282,153.022,533.347,3533.09,NA,NA,1025.019,NA,177.491,NA,159.169,225.023,9976.922,NA,NA,NA,390.163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.218,11102.693,NA,NA,373.967,NA,964.852,686.619,168.805,NA,NA,467.815,NA,NA,NA,NA,NA,NA,NA,122.284,NA,NA,NA,NA,NA,NA,NA,542.724,NA,NA,117.231,NA,NA,NA,NA,NA,NA
NA,NA,1032.259,NA,NA,NA,NA,NA,NA,684.104,NA,627.418,2148.734,NA,NA,3632.736,NA,NA,NA,144.112,NA,4761.979,NA,NA,206.283,1066.426,NA,NA,160.469,166.229,NA,NA,NA,NA,NA,NA,NA,866.221,7611.955,NA,185.36,258.298,NA,460.384,342.662,109.578,NA,NA,251.731,NA,93.506,NA,NA,119.456,NA,NA,137.759,NA,168.793,NA,NA,NA,79.243,NA,538.467,NA,235.761,225.451,NA,NA,NA,NA,NA,NA
NA,363.502,2630.05,NA,NA,665.854,337.212,NA,NA,363.963,NA,NA,696.536,NA,NA,1023.007,NA,NA,265.606,179.368,NA,3758.795,NA,NA,2621.813,699.167,NA,NA,129.689,108.117,136.669,NA,NA,NA,NA,NA,148.936,511.946,86.237,598.924,170.999,89.568,NA,186.528,281.984,NA,NA,NA,162.05,91.637,197.393,NA,108.495,147.462,NA,NA,55.544,NA,NA,NA,NA,NA,508.416,NA,331.006,NA,87.971,1140.459,NA,NA,NA,NA,NA,NA
NA,803.585,2598.282,NA,NA,NA,NA,NA,NA,593.082,NA,NA,249.657,NA,NA,2422.115,NA,NA,NA,NA,NA,1294.795,NA,NA,516.843,187.087,NA,161.421,113.622,NA,NA,NA,NA,NA,NA,NA,247.073,945.009,300.481,NA,252.838,NA,65.229,NA,114.016,NA,NA,NA,386.391,86.241,64.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.605,NA,612.563,NA,173.335,513.348,NA,NA,NA,NA,NA,NA
