"Description","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"NMT.1.9_2021",2315.351,125.069,NA,1068.185,NA,NA,261.924,NA,NA,NA,97.543,NA,NA,NA,NA,NA,335.659,101.324,2787.727,NA,NA,NA,NA,NA,549.442,366.918,126.632,NA,NA,NA,155.408,NA,NA,NA,1295.976,1310.44,492.162,443.872,117.758,NA,201.962,NA,NA,NA,NA,115.926,NA,NA,113.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.2_2021",3412.864,225.455,NA,834.076,NA,NA,1533.888,NA,182.541,217.217,3128.403,NA,444.824,4992.382,NA,NA,124.82,206.213,4326.201,287.948,NA,NA,1297.332,NA,1824.524,229.113,NA,NA,NA,NA,846.316,140.471,NA,NA,901.521,195.104,266.4,237.052,118.968,NA,212.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.964,NA,NA,NA,NA,NA,NA,143.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.6_2021",3617.929,281.311,NA,NA,NA,NA,632.93,NA,174.037,250.07,1499.607,NA,NA,NA,NA,NA,120.835,427.842,NA,9124.639,NA,NA,NA,NA,744.193,194.346,NA,158.924,NA,113.829,322.829,538.108,NA,NA,185.31,510.453,154.557,206.106,571.965,NA,1061.304,NA,NA,252.95,NA,151.162,NA,NA,83.006,NA,NA,NA,90.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.1_2021",959.687,108.057,NA,621.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.822,134.024,1209.591,96.856,NA,NA,NA,NA,334.93,319.679,286.009,NA,NA,137.459,173.763,311.468,NA,NA,1995.71,1109.328,211.358,706.024,1554.343,NA,336.343,NA,NA,NA,NA,322.458,60.294,92.71,NA,NA,NA,NA,223.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZT.1.3_2021",1991.113,NA,NA,NA,NA,NA,275.235,NA,107.299,288.732,1916.415,NA,NA,NA,NA,NA,140.078,204.613,4410.158,220.658,NA,NA,NA,NA,1276.056,126.147,NA,NA,NA,NA,NA,246.236,NA,NA,580.051,6137.343,243.128,233.994,108.547,NA,349.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.8_2021",1777.491,NA,NA,NA,NA,NA,517.535,NA,102.774,161.647,1202.538,NA,NA,NA,NA,NA,140.161,NA,799.86,NA,NA,NA,NA,161.416,NA,138.459,NA,NA,NA,NA,NA,NA,NA,NA,766.846,5336.71,222.916,191.608,81.635,NA,75.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.572,NA,NA,NA,NA,NA,NA,186.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTW.3.4_2021",1848.741,152.221,NA,379.38,NA,NA,409.576,NA,NA,292.679,557.066,NA,NA,NA,NA,NA,277.767,112.827,4890.814,147.877,NA,424.553,NA,NA,812.063,134.014,149.956,NA,NA,NA,106.554,NA,NA,NA,1321.156,1377.346,103.718,169.705,683.069,NA,383.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.9_2021",2050.4,210.689,NA,NA,NA,NA,311.311,NA,NA,107.488,786.856,NA,NA,8185.398,NA,NA,117.442,116.891,2642.324,121.353,NA,NA,NA,NA,432.274,340.501,NA,NA,NA,138.18,247.092,272.949,NA,NA,224.112,2316.296,291.307,279.364,135.53,NA,327.346,NA,NA,NA,83.391,254.642,94.699,116.176,102.437,84.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.9_2021",10862.413,839.002,NA,NA,NA,NA,690.377,NA,NA,137.263,920.035,121.592,NA,NA,NA,NA,1052.484,957.098,1545.835,NA,NA,NA,5817.187,472.971,1089.71,940.527,889.506,NA,NA,334.51,225.773,146.418,NA,NA,252.938,6064.9,182.796,113.217,1253.213,NA,NA,NA,NA,1586.499,222.983,379.714,NA,201.922,66.741,241.899,NA,NA,489.414,NA,125.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.1_2021",3923.162,177.403,NA,NA,NA,NA,193.661,NA,200.229,416.288,1771.506,NA,NA,NA,NA,NA,232.902,564.662,NA,11053.187,NA,NA,NA,NA,178.867,311.469,107.437,202.311,NA,NA,187.403,NA,NA,NA,186.667,6647.752,NA,299.7,670.364,NA,755.979,NA,NA,137.733,NA,NA,NA,NA,NA,NA,NA,NA,341.076,NA,NA,NA,NA,NA,NA,344.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
