"Description","RT001","C001","RT002","C002","RT003","C003","RT004","C004","RT005","C005","RT006","C006","RT007","C007","RT008","C008","RT009","C009","RT010","C010","RT011","C011","RT012","C012","RT013","C013","RT014","C014","RT015","C015","RT016","C016","RT017","C017","RT018","C018","RT019","C019","RT020","C020","RT021","C021","RT022","C022","RT023","C023","RT024","C024","RT025","C025","RT026","C026","RT027","C027","RT028","C028","RT029","C029","RT030","C030","RT031","C031","RT032","C032","RT033","C033","RT034","C034","RT035","C035","RT036","C036","RT037","C037","RT038","C038","RT039","C039","RT040","C040","RT041","C041","RT042","C042","RT043","C043","RT044","C044","RT045","C045","RT046","C046","RT047","C047","RT048","C048","RT049","C049","RT050","C050","RT051","C051","RT052","C052","RT053","C053","RT054","C054","RT055","C055","RT056","C056","RT057","C057","RT058","C058","RT059","C059","RT060","C060","RT061","C061","RT062","C062","RT063","C063","RT064","C064","RT065","C065","RT066","C066","RT067","C067","RT068","C068","RT069","C069","RT070","C070","RT071","C071","RT072","C072","RT073","C073","RT074","C074"
"NMT.1.9_2021",NA,NA,3.0165,2315.351,4.239,125.069,NA,NA,5.1003,1068.185,NA,NA,NA,NA,11.6051,261.924,NA,NA,NA,NA,NA,NA,13.2388,97.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2786,335.659,15.9155,101.324,16.5305,2787.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.929,549.442,18.1968,366.918,18.3897,126.632,NA,NA,NA,NA,NA,NA,19.5849,155.408,NA,NA,NA,NA,NA,NA,20.4442,1295.976,20.6208,1310.44,20.941,492.162,21.0278,443.872,21.3313,117.758,NA,NA,21.5562,201.962,NA,NA,NA,NA,NA,NA,NA,NA,22.6504,115.926,NA,NA,NA,NA,23.3226,113.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1239,529.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COVW.2.2_2021",NA,NA,3.015,3412.864,4.2357,225.455,NA,NA,5.0121,834.076,NA,NA,NA,NA,11.6286,1533.888,NA,NA,12.1688,182.541,12.6577,217.217,13.2831,3128.403,NA,NA,14.2627,444.824,14.4428,4992.382,NA,NA,NA,NA,15.3094,124.82,15.9227,206.213,16.5584,4326.201,16.7699,287.948,NA,NA,NA,NA,17.3483,1297.332,NA,NA,17.9672,1824.524,18.2074,229.113,NA,NA,NA,NA,NA,NA,NA,NA,19.6272,846.316,19.8791,140.471,NA,NA,NA,NA,20.4586,901.521,20.5474,195.104,20.9415,266.4,21.2783,237.052,21.3291,118.968,NA,NA,21.5596,212.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7534,85.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.116,143.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAW.1.6_2021",NA,NA,3.0176,3617.929,4.2376,281.311,NA,NA,NA,NA,NA,NA,NA,NA,11.6095,632.93,NA,NA,12.1623,174.037,12.6519,250.07,13.2611,1499.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3172,120.835,15.9232,427.842,NA,NA,16.6022,9124.639,NA,NA,NA,NA,NA,NA,NA,NA,17.9356,744.193,18.1843,194.346,NA,NA,18.5849,158.924,NA,NA,18.8978,113.829,19.4687,322.829,19.8767,538.108,NA,NA,NA,NA,20.2275,185.31,20.5863,510.453,20.9134,154.557,21.1629,206.106,21.2827,571.965,NA,NA,21.5858,1061.304,NA,NA,NA,NA,21.9907,252.95,NA,NA,22.6837,151.162,NA,NA,NA,NA,23.3126,83.006,NA,NA,NA,NA,NA,NA,23.7526,90.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.1_2021",NA,NA,3.018,959.687,4.241,108.057,NA,NA,5.0943,621.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2761,344.822,15.9157,134.024,16.5018,1209.591,16.6492,96.856,NA,NA,NA,NA,NA,NA,NA,NA,17.9197,334.93,18.1898,319.679,18.3986,286.009,NA,NA,NA,NA,18.9,137.459,19.5948,173.763,19.8693,311.468,NA,NA,NA,NA,20.4918,1995.71,20.5926,1109.328,20.9418,211.358,21.0599,706.024,21.356,1554.343,NA,NA,21.5699,336.343,NA,NA,NA,NA,NA,NA,NA,NA,22.659,322.458,22.9929,60.294,23.1557,92.71,NA,NA,NA,NA,NA,NA,NA,NA,23.7585,223.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AZT.1.3_2021",NA,NA,3.0175,1991.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6037,275.235,NA,NA,12.1702,107.299,12.6546,288.732,13.2619,1916.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2932,140.078,15.9182,204.613,16.5551,4410.158,16.7207,220.658,NA,NA,NA,NA,NA,NA,NA,NA,17.9395,1276.056,18.1884,126.147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8668,246.236,NA,NA,NA,NA,20.4351,580.051,20.6937,6137.343,20.9347,243.128,21.2667,233.994,21.325,108.547,NA,NA,21.5568,349.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1157,163.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.8_2021",NA,NA,3.0166,1777.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6055,517.535,NA,NA,12.1606,102.774,12.6497,161.647,13.2559,1202.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2548,140.161,NA,NA,16.4873,799.86,NA,NA,NA,NA,NA,NA,NA,NA,17.8992,161.416,NA,NA,18.1725,138.459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4299,766.846,20.675,5336.71,20.9289,222.916,21.2582,191.608,21.3182,81.635,NA,NA,21.5411,75.642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7486,66.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1134,186.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTW.3.4_2021",NA,NA,3.0167,1848.741,4.2375,152.221,NA,NA,5.0316,379.38,NA,NA,NA,NA,11.604,409.576,NA,NA,NA,NA,12.6505,292.679,13.2428,557.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2908,277.767,15.9125,112.827,16.5573,4890.814,16.665,147.877,NA,NA,17.2102,424.553,NA,NA,NA,NA,17.9227,812.063,18.1792,134.014,18.3835,149.956,NA,NA,NA,NA,NA,NA,19.5746,106.554,NA,NA,NA,NA,NA,NA,20.4241,1321.156,20.6031,1377.346,20.8922,103.718,21.2562,169.705,21.3399,683.069,NA,NA,21.5526,383.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7487,90.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.9_2021",NA,NA,3.0188,2050.4,4.2405,210.689,NA,NA,NA,NA,NA,NA,NA,NA,11.6065,311.311,NA,NA,NA,NA,12.6526,107.488,13.2523,786.856,NA,NA,NA,NA,14.4677,8185.398,NA,NA,NA,NA,15.2701,117.442,15.9152,116.891,16.5293,2642.324,16.6504,121.353,NA,NA,NA,NA,NA,NA,NA,NA,17.9278,432.274,18.1927,340.501,NA,NA,NA,NA,NA,NA,18.9009,138.18,19.4474,247.092,19.8714,272.949,NA,NA,NA,NA,20.2362,224.112,20.5957,2316.296,20.9277,291.307,21.2472,279.364,21.3355,135.53,NA,NA,21.5717,327.346,NA,NA,NA,NA,NA,NA,22.3121,83.391,22.6589,254.642,23.0516,94.699,23.1589,116.176,23.3188,102.437,23.4548,84.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.9_2021",NA,NA,3.0165,10862.413,3.9082,839.002,NA,NA,NA,NA,NA,NA,NA,NA,11.6072,690.377,NA,NA,NA,NA,12.6504,137.263,13.2476,920.035,13.6961,121.592,NA,NA,NA,NA,NA,NA,NA,NA,15.3129,1052.484,15.7554,957.098,16.5066,1545.835,NA,NA,NA,NA,NA,NA,17.391,5817.187,17.8609,472.971,17.9706,1089.71,18.2326,940.527,18.4354,889.506,NA,NA,NA,NA,18.9822,334.51,19.5974,225.773,19.8725,146.418,NA,NA,NA,NA,20.4307,252.938,20.6971,6064.9,20.8058,182.796,21.1464,113.217,21.3558,1253.213,NA,NA,NA,NA,NA,NA,NA,NA,21.9644,1586.499,22.3265,222.983,22.7823,379.714,NA,NA,23.1709,201.922,23.2811,66.741,23.4651,241.899,NA,NA,NA,NA,23.7662,489.414,NA,NA,23.853,125.279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTWV.2.1_2021",NA,NA,3.0162,3923.162,4.2372,177.403,NA,NA,NA,NA,NA,NA,NA,NA,11.604,193.661,NA,NA,12.1495,200.229,12.6586,416.288,13.2692,1771.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.343,232.902,15.9314,564.662,NA,NA,16.6251,11053.187,NA,NA,NA,NA,NA,NA,NA,NA,17.9163,178.867,18.1944,311.469,18.3945,107.437,18.592,202.311,NA,NA,NA,NA,19.5945,187.403,NA,NA,NA,NA,NA,NA,20.3597,186.667,20.7027,6647.752,NA,NA,21.1528,299.7,21.2849,670.364,NA,NA,21.5742,755.979,NA,NA,NA,NA,22.0069,137.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7596,341.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1199,344.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
