"","C001","C002","C003","C004","C005","C006","C007","C008","C009","C010","C011","C012","C013","C014","C015","C016","C017","C018","C019","C020","C021","C022","C023","C024","C025","C026","C027","C028","C029","C030","C031","C032","C033","C034","C035","C036","C037","C038","C039","C040","C041","C042","C043","C044","C045","C046","C047","C048","C049","C050","C051","C052","C053","C054","C055","C056","C057","C058","C059","C060","C061","C062","C063","C064","C065","C066","C067","C068","C069","C070","C071","C072","C073"
"AZT.1.10_2012",292.766,2290.793,0,0,589.515,0,0,0,469.464,0,0,406.592,0,0,1827.418,0,0,255.097,0,0,2021.666,0,0,2908.666,437.943,0,0,319.032,203.919,168.894,0,0,0,0,0,0,686.181,1692.433,771.696,313.435,0,0,103.719,143.489,0,0,0,195.645,59.505,192.241,0,96.925,144.648,0,0,83.482,0,0,0,0,0,151.533,0,253.049,0,186.473,439.102,0,0,0,0,0,0
"AZT.1.3_2012",399.753,1596.315,0,0,0,0,0,0,313.48,0,0,1370.219,2313.761,0,1088.011,0,0,0,145.96,0,4114.135,0,0,2054.18,371.383,0,962.757,95.651,0,0,0,0,0,0,0,0,439.193,5160.686,193.627,127.353,0,0,228.307,319.239,0,0,0,319.773,0,52.211,0,0,0,0,0,0,0,0,0,0,0,115.112,0,211.287,0,123.796,406.217,123.574,0,0,0,0,0
"AZT.1.3_2021",1991.113,0,0,0,0,0,275.235,0,107.299,288.732,1916.415,0,0,0,0,0,140.078,204.613,4410.158,220.658,0,0,0,0,1276.056,126.147,0,0,0,0,0,246.236,0,0,580.051,6137.343,243.128,233.994,108.547,0,349.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.999,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZT.1.7_2012",70.689,2133.093,0,0,457.99,0,0,0,569.955,0,0,676.584,0,0,1924.849,0,0,241.134,0,0,1634.245,0,0,4736.041,794.962,0,0,365.276,335.791,235.877,0,0,0,0,0,0,705.5,2771.851,708.537,295.189,0,0,161.327,106.818,0,0,0,0,83.311,385.03,0,0,179.477,0,0,149.514,0,0,0,0,0,168.755,0,488.424,0,346.938,765.893,0,0,0,0,0,0
"AZT.1.7_2021",4427.94,167.614,567.036,0,0,0,599.557,0,0,135.666,788.14,0,0,0,0,0,609.706,147.625,2752.092,110.621,0,0,4000.412,0,474.055,772.422,399.061,0,0,129.935,290.413,167.868,0,0,1333.352,1215.762,1279.914,172.067,291.244,0,205.83,0,0,0,0,117.765,0,114.37,105.392,52.837,0,0,90.624,0,0,0,0,0,0,274.029,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZTW.1.5_2012",803.585,2598.282,0,0,0,0,0,0,593.082,0,0,249.657,0,0,2422.115,0,0,0,0,0,1294.795,0,0,516.843,187.087,0,161.421,113.622,0,0,0,0,0,0,0,247.073,945.009,300.481,0,252.838,0,65.229,0,114.016,0,0,0,386.391,86.241,64.366,0,0,0,0,0,0,0,0,0,0,0,164.605,0,612.563,0,173.335,513.348,0,0,0,0,0,0
"AZTW.1.5_2021",1929.12,124.62,0,478.214,0,0,122.186,0,0,0,0,0,0,0,0,0,220.57,0,1543.429,0,0,0,0,0,680.681,156.292,0,0,0,0,145.016,0,0,0,891.543,1626.911,382.059,0,82.41,0,139.889,0,0,74.027,0,93.672,0,0,121.577,0,0,0,0,0,0,0,0,0,0,209.574,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZTW.1.7_2012",599.954,1677.474,0,0,0,0,0,0,386.706,0,0,192.195,91.236,0,2674.222,0,0,165.845,0,0,684.152,0,0,1805.713,114.922,0,737.413,284.16,0,0,0,0,0,0,0,0,991.753,137.3,0,226.628,0,161.98,0,82.33,0,0,0,635.187,98.176,86.776,0,0,0,107.82,0,0,0,0,0,0,0,277.214,0,468.682,0,0,517.206,0,0,0,0,0,0
"AZTW.1.7_2021",1150.067,0,678.934,0,0,0,131.489,0,0,564.775,0,0,0,0,0,0,205.668,0,750.456,160.555,0,927.496,0,0,1168.17,425.151,118.17,0,0,0,0,0,0,0,1152.442,827.363,138.514,490.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.251,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZTW.1.8_2012",401.776,4595.333,0,0,543.94,258.852,0,0,815.551,0,0,363.528,0,0,2028.175,0,0,386.835,0,0,839.768,0,0,3229.078,354.929,0,490.945,306.996,0,182.067,0,0,195.058,0,0,162.286,528.855,99.396,978.311,244.881,0,124.179,0,67.046,0,0,0,520.158,97.813,150.006,0,89.327,0,82.83,0,0,0,0,0,0,0,99.397,0,250.322,0,202.324,159.294,0,0,0,0,0,0
