"","RT001","C001","RT002","C002","RT003","C003","RT004","C004","RT005","C005","RT006","C006","RT007","C007","RT008","C008","RT009","C009","RT010","C010","RT011","C011","RT012","C012","RT013","C013","RT014","C014","RT015","C015","RT016","C016","RT017","C017","RT018","C018","RT019","C019","RT020","C020","RT021","C021","RT022","C022","RT023","C023","RT024","C024","RT025","C025","RT026","C026","RT027","C027","RT028","C028","RT029","C029","RT030","C030","RT031","C031","RT032","C032","RT033","C033","RT034","C034","RT035","C035","RT036","C036","RT037","C037","RT038","C038","RT039","C039","RT040","C040","RT041","C041","RT042","C042","RT043","C043","RT044","C044","RT045","C045","RT046","C046","RT047","C047","RT048","C048","RT049","C049","RT050","C050","RT051","C051","RT052","C052","RT053","C053","RT054","C054","RT055","C055","RT056","C056","RT057","C057","RT058","C058","RT059","C059","RT060","C060","RT061","C061","RT062","C062","RT063","C063","RT064","C064","RT065","C065","RT066","C066","RT067","C067","RT068","C068","RT069","C069","RT070","C070","RT071","C071","RT072","C072","RT073","C073","RT074","C074"
"UTV.3.5_2012",NA,NA,3.0663,1235.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.167,502.906,13.7535,297.648,NA,NA,NA,NA,14.8743,206.777,NA,NA,15.3838,147.918,NA,NA,16.372,173.626,16.6752,816.807,16.9793,2148.899,NA,NA,NA,NA,NA,NA,17.9471,524.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0226,219.924,NA,NA,NA,NA,NA,NA,21.0704,8973.818,21.3059,205.379,NA,NA,NA,NA,NA,NA,21.7645,737.368,21.9379,749.351,NA,NA,NA,NA,NA,NA,23.1121,376.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0505,166.496,24.1538,4742.624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9713,256.096,NA,NA,NA,NA,26.6225,153.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAT.2.3_2012",NA,NA,3.1598,446.744,3.6881,2535.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1249,534.194,NA,NA,NA,NA,13.7563,1189.129,NA,NA,NA,NA,14.8835,4773.455,NA,NA,NA,NA,15.7811,281.077,NA,NA,NA,NA,16.9976,4275.315,NA,NA,NA,NA,17.7405,773.002,17.9397,1244.025,NA,NA,18.5384,265.869,18.6174,237.339,NA,NA,18.8608,369.729,19.3291,97.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8565,1782.048,21.0928,5193.723,NA,NA,21.4321,245.94,NA,NA,NA,NA,21.6615,739.767,21.9074,352.362,NA,NA,NA,NA,NA,NA,23.1238,586.083,23.2686,98.465,23.4308,264.612,23.6093,66.124,NA,NA,23.7266,178.881,NA,NA,NA,NA,24.0002,122.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4793,154.866,NA,NA,25.9642,408.408,NA,NA,26.4772,380.864,26.6123,275.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORTW.2.1_2012",NA,NA,3.059,456.275,3.6785,2205.193,NA,NA,NA,NA,7.3247,486.387,NA,NA,NA,NA,NA,NA,12.1258,1353.957,NA,NA,NA,NA,13.7477,528.139,NA,NA,NA,NA,14.938,10270.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9595,1574.931,NA,NA,NA,NA,17.7309,386.442,17.9416,1407.81,NA,NA,18.535,211.464,18.6159,212.814,NA,NA,NA,NA,19.3278,165.186,NA,NA,20.0143,167.669,NA,NA,NA,NA,NA,NA,20.87,3348.979,21.2654,192.879,NA,NA,21.4513,556.432,NA,NA,21.5995,457.734,NA,NA,21.9016,156.138,NA,NA,NA,NA,22.9732,92.145,23.1258,514.217,23.2695,167.277,23.4338,418.838,23.6107,81.645,NA,NA,23.7285,252.836,NA,NA,NA,NA,24.0353,61.403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9592,91.017,NA,NA,NA,NA,26.6084,78.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MTW.1.7_2012",NA,NA,3.0384,620.085,3.6688,1294.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1327,1017.19,NA,NA,13.1706,617.121,13.7774,2142.559,NA,NA,NA,NA,14.8767,3902.043,NA,NA,NA,NA,NA,NA,NA,NA,16.6692,160.459,17.0329,6377.122,NA,NA,NA,NA,NA,NA,17.9353,564.212,NA,NA,18.5436,161.266,18.6235,162.371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0371,148.802,NA,NA,NA,NA,20.8811,1260.759,21.1464,8891.673,NA,NA,21.4389,216.507,21.5373,310.388,21.6017,77.153,21.6833,428.357,21.9193,468.806,22.3456,112.366,NA,NA,NA,NA,23.1391,263.473,NA,NA,23.4351,118.478,NA,NA,NA,NA,23.7337,126.316,NA,NA,NA,NA,24.0447,199.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3952,234.854,NA,NA,NA,NA,NA,NA,NA,NA,26.6149,100.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.8_2012",NA,NA,3.1534,144.962,3.6861,3144.306,NA,NA,NA,NA,7.3171,690.474,9.9164,232.868,NA,NA,NA,NA,12.1178,292.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8236,389.28,NA,NA,NA,NA,15.7767,613.347,NA,NA,NA,NA,16.9713,2156.458,NA,NA,NA,NA,17.7903,3637.943,17.9329,192.98,NA,NA,18.54,343.941,18.6176,230.296,NA,NA,18.8503,489.868,NA,NA,19.8947,135.815,NA,NA,NA,NA,NA,NA,20.5481,163.642,20.7944,124.551,NA,NA,21.3013,1176.22,21.4185,257.06,21.5847,97.206,NA,NA,21.6825,1931.047,21.904,174,NA,NA,NA,NA,NA,NA,23.1063,215.166,23.2662,59.354,23.4315,260.604,NA,NA,23.6444,189.237,23.7279,127.761,NA,NA,NA,NA,23.9982,75.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.389,191.748,NA,NA,NA,NA,NA,NA,NA,NA,26.6112,249.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMT.2.5_2012",NA,NA,3.0906,550.851,3.6854,1695.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1142,188.862,NA,NA,NA,NA,13.759,1564.781,NA,NA,NA,NA,14.848,2430.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9465,1090,NA,NA,NA,NA,17.718,128.374,17.917,402.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8492,1347.292,21.2486,107.897,NA,NA,21.516,79.369,NA,NA,21.6526,107.447,NA,NA,21.8954,96.976,NA,NA,NA,NA,NA,NA,23.115,535.39,23.2654,62.628,23.4265,97.072,23.6056,74.448,NA,NA,NA,NA,23.7232,120.948,NA,NA,24.0358,103.097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3878,153.582,NA,NA,25.9642,490.226,NA,NA,26.4755,147.289,26.6105,271.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UTT.1.5_2012",NA,NA,NA,NA,3.6855,3218.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1236,593.854,NA,NA,NA,NA,13.7474,249.191,NA,NA,NA,NA,14.8254,464.05,NA,NA,NA,NA,15.7868,715.069,NA,NA,NA,NA,16.9689,2055.244,NA,NA,NA,NA,17.7769,2734.957,17.9431,161.839,NA,NA,NA,NA,18.5483,564.795,18.6285,469.871,18.86,516.88,NA,NA,19.9081,117.828,20.0109,123.442,NA,NA,NA,NA,20.5521,173.667,20.7991,141.236,21.2963,867.436,NA,NA,21.4383,260.485,NA,NA,21.5978,76.647,21.6858,2071.832,21.9122,188.117,NA,NA,NA,NA,NA,NA,23.1099,264.774,NA,NA,23.4319,199.612,NA,NA,23.6512,210.309,23.7293,93.315,NA,NA,NA,NA,24.0003,69.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3887,153.045,NA,NA,25.9615,160.14,NA,NA,NA,NA,26.6109,200.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.3.7_2012",NA,NA,3.0663,352.089,3.6805,2432.204,NA,NA,NA,NA,7.3118,520.46,NA,NA,NA,NA,NA,NA,12.1265,1090.285,NA,NA,13.1585,184.813,13.7467,425.616,NA,NA,NA,NA,14.8581,2844.991,NA,NA,NA,NA,15.797,652.29,NA,NA,NA,NA,16.9718,2396.956,NA,NA,NA,NA,17.7634,1925.378,17.9341,859.56,NA,NA,18.5384,268.03,18.6146,206.428,NA,NA,18.8924,1023.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8383,1024.729,21.0815,4100.087,21.2917,544.985,21.4558,184.534,21.5187,75.146,NA,NA,21.699,3017.162,21.9259,295.796,NA,NA,22.661,103.116,NA,NA,23.1127,421.131,23.2725,193.658,23.4381,510.556,NA,NA,NA,NA,23.7324,165.425,NA,NA,NA,NA,24.0021,122.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9623,263.654,NA,NA,26.4744,87.302,26.6094,123.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ORT.2.6_2012",NA,NA,NA,NA,3.6664,2152.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1242,581.132,NA,NA,13.1645,138.408,13.7504,178.474,NA,NA,NA,NA,14.8281,364.996,NA,NA,NA,NA,15.7946,772.194,NA,NA,NA,NA,16.9504,389.987,NA,NA,NA,NA,17.7571,1355.731,NA,NA,NA,NA,NA,NA,18.6245,231.88,NA,NA,18.8672,278.17,NA,NA,19.926,139.26,20.0181,146.406,NA,NA,NA,NA,NA,NA,20.811,142.275,21.0463,1892.552,21.3052,939.305,21.4511,174.99,21.5249,104.357,NA,NA,21.7005,2729.7,21.9227,81.174,NA,NA,NA,NA,NA,NA,23.123,337.164,NA,NA,23.435,81.811,NA,NA,23.6534,123.284,23.7344,88.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.9671,231.085,NA,NA,NA,NA,26.6145,131.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAVW.3.1_2012",NA,NA,3.0319,784.843,3.6653,1099.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1343,1308.216,NA,NA,13.1703,454.582,13.7638,1049.64,NA,NA,NA,NA,14.8924,5027.877,NA,NA,15.3983,114.369,NA,NA,NA,NA,16.6726,145.318,17.0241,5647.794,NA,NA,NA,NA,17.7335,84.517,17.9346,669.172,NA,NA,18.5427,186.951,18.6231,188.614,NA,NA,NA,NA,NA,NA,NA,NA,20.0213,142.004,NA,NA,NA,NA,NA,NA,20.8275,834.485,21.0844,4324.833,NA,NA,21.445,142.299,21.5221,135.096,NA,NA,21.674,228.992,21.9146,562.669,22.2431,198.984,NA,NA,NA,NA,23.146,188.285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3939,93.257,NA,NA,25.9771,979.117,26.3448,71.457,26.4858,463.721,26.6218,520.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
