SampleID,Paired,Garden Plant ID,2020 STATUS,Project,Location,Subspecies,Year,Plant,Ploidy,Subsp_ploidy,Patch,Date,Veg_Type,Collection,DNA Concentration (ng/uL),Description,Plant Group,Site,Latitude,Longitude,Elevation (m)
20-21_1,,,,Soda_Fire,ROCK,Dwarf,2020,1,NA,NA,103,26-Sep-20,Remnant,Clean,18.7,20-21_1,,,,,
20-21_10,,,,Soda_Fire,ROCK,Wyoming,2020,5,NA,NA,103,26-Sep-20,New,Unclean,43.8,20-21_10,,,,,
20-21_11,,,,Soda_Fire,ROCK,Wyoming,2020,6,NA,NA,103,26-Sep-20,New,Clean,14,20-21_11,,,,,
20-21_12,,,,Soda_Fire,ROCK,Wyoming,2020,6,NA,NA,103,26-Sep-20,New,Unclean,23.2,20-21_12,,,,,
20-21_13,,,,Soda_Fire,ROCK,Wyoming,2020,7,NA,NA,103,26-Sep-20,New,Clean,28.4,20-21_13,,,,,
20-21_14,,,,Soda_Fire,ROCK,Wyoming,2020,7,NA,NA,103,26-Sep-20,New,Unclean,15,20-21_14,,,,,
20-21_15,,,,Soda_Fire,ROCK,Wyoming,2020,8,NA,NA,103,26-Sep-20,New,Clean,49.2,20-21_15,,,,,
20-21_16,,,,Soda_Fire,ROCK,Wyoming,2020,8,NA,NA,103,26-Sep-20,New,Unclean,53.1,20-21_16,,,,,
20-21_17,,,,Soda_Fire,ROCK,Wyoming,2020,9,NA,NA,103,26-Sep-20,New,Clean,15.3,20-21_17,,,,,
20-21_18,,,,Soda_Fire,ROCK,Wyoming,2020,9,NA,NA,103,26-Sep-20,New,Unclean,65,20-21_18,,,,,
20-21_19,,,,Soda_Fire,ROCK,Wyoming,2020,10,NA,NA,103,26-Sep-20,Remnant,Clean,15.2,20-21_19,,,,,
20-21_2,,,,Soda_Fire,ROCK,Dwarf,2020,1,NA,NA,103,26-Sep-20,Remnant,Unclean,35.3,20-21_2,,,,,
20-21_20,,,,Soda_Fire,ROCK,Wyoming,2020,10,NA,NA,103,26-Sep-20,Remnant,Unclean,20.5,20-21_20,,,,,
20-21_21,,,,Soda_Fire,ROCK,Wyoming,2020,11,NA,NA,103,26-Sep-20,Remnant,Clean,15.2,20-21_21,,,,,
20-21_23,,,,Soda_Fire,ROCK,Wyoming,2020,13,NA,NA,103,26-Sep-20,Remnant,Clean,37,20-21_23,,,,,
20-21_24,,,,Soda_Fire,ROCK,Wyoming,2020,13,NA,NA,103,26-Sep-20,Remnant,Unclean,53.9,20-21_24,,,,,
20-21_25,,,,Soda_Fire,RGF,Dwarf,2020,14,NA,NA,105,26-Sep-20,Remnant,Clean,16,20-21_25,,,,,
20-21_26,,,,Soda_Fire,RGF,Dwarf,2020,14,NA,NA,105,26-Sep-20,Remnant,Unclean,55.9,20-21_26,,,,,
20-21_27,,,,Soda_Fire,RGF,Wyoming,2020,15,NA,NA,105,26-Sep-20,Remnant,Clean,58.2,20-21_27,,,,,
20-21_28,,,,Soda_Fire,RGF,Wyoming,2020,15,NA,NA,105,26-Sep-20,Remnant,Unclean,14.9,20-21_28,,,,,
20-21_29,,,,Soda_Fire,RGF,Wyoming,2020,16,NA,NA,105,26-Sep-20,Remnant,Clean,49.8,20-21_29,,,,,
20-21_3,,,,Soda_Fire,ROCK,Dwarf,2020,2,NA,NA,103,26-Sep-20,Remnant,Clean,12.6,20-21_3,,,,,
20-21_31,,,,Soda_Fire,RGF,Wyoming,2020,18,NA,NA,105,26-Sep-20,Remnant,Clean,32.2,20-21_31,,,,,
20-21_32,,,,Soda_Fire,RGF,Wyoming,2020,18,NA,NA,105,26-Sep-20,Remnant,Unclean,45.5,20-21_32,,,,,
20-21_33,,,,Soda_Fire,RGF,Wyoming,2020,19,NA,NA,105,26-Sep-20,New,Clean,58.4,20-21_33,,,,,
20-21_34,,,,Soda_Fire,RGF,Wyoming,2020,19,NA,NA,105,26-Sep-20,New,Unclean,28.9,20-21_34,,,,,
20-21_35,,,,Soda_Fire,RGF,Wyoming,2020,20,NA,NA,105,26-Sep-20,New,Clean,23.5,20-21_35,,,,,
20-21_36,,,,Soda_Fire,RGF,Wyoming,2020,20,NA,NA,105,26-Sep-20,New,Unclean,18.4,20-21_36,,,,,
20-21_38,,,,Soda_Fire,RGF,Wyoming,2020,22,NA,NA,105,26-Sep-20,New,Unclean,27,20-21_38,,,,,
20-21_39,,,,Soda_Fire,RGF,Wyoming,2020,23,NA,NA,105,26-Sep-20,New,Clean,15,20-21_39,,,,,
20-21_4,,,,Soda_Fire,ROCK,Dwarf,2020,2,NA,NA,103,26-Sep-20,Remnant,Unclean,32.8,20-21_4,,,,,
20-21_40,,,,Soda_Fire,RGF,Wyoming,2020,23,NA,NA,105,26-Sep-20,New,Unclean,50.1,20-21_40,,,,,
20-21_42,,,,Soda_Fire,RGF,Wyoming,2020,25,NA,NA,105,26-Sep-20,New,Unclean,21.9,20-21_42,,,,,
20-21_43,,,,Soda_Fire,RGF,Wyoming,2020,26,NA,NA,105,26-Sep-20,New,Clean,18.1,20-21_43,,,,,
20-21_44,,,,Soda_Fire,RGF,Wyoming,2020,26,NA,NA,105,26-Sep-20,New,Unclean,27.6,20-21_44,,,,,
20-21_5,,,,Soda_Fire,ROCK,Dwarf,2020,3,NA,NA,103,26-Sep-20,Remnant,Clean,25.2,20-21_5,,,,,
20-21_6,,,,Soda_Fire,ROCK,Dwarf,2020,3,NA,NA,103,26-Sep-20,Remnant,Unclean,24.8,20-21_6,,,,,
20-21_7,,,,Soda_Fire,ROCK,Wyoming,2020,4,NA,NA,103,26-Sep-20,New,Clean,45.7,20-21_7,,,,,
20-21_8,,,,Soda_Fire,ROCK,Wyoming,2020,4,NA,NA,103,26-Sep-20,New,Unclean,35,20-21_8,,,,,
20-21_9,,,,Soda_Fire,ROCK,Wyoming,2020,5,NA,NA,103,26-Sep-20,New,Clean,33.9,20-21_9,,,,,
AH1901,,,,Soda_Fire,RGF,Dwarf,2019,203,NA,NA,108,11-Feb-19,Remnant,Unclean,16,AH1901,,,,,
AH1902,,,,Soda_Fire,RGF,Dwarf,2019,204,NA,NA,108,11-Feb-19,Remnant,Unclean,80.9,AH1902,,,,,
AH1903,,,,Soda_Fire,RGF,Dwarf,2019,205,NA,NA,108,11-Feb-19,Remnant,Unclean,20.3,AH1903,,,,,
AH1904,,,,Soda_Fire,RGF,Dwarf,2019,206,NA,NA,108,11-Feb-19,Remnant,Unclean,14.1,AH1904,,,,,
AH1905,,,,Soda_Fire,RRO,Wyoming,2019,207,NA,NA,114,11-Feb-19,Remnant,Unclean,12.9,AH1905,,,,,
AH1906,,,,Soda_Fire,RRO,Dwarf,2019,208,NA,NA,114,11-Feb-19,Remnant,Unclean,22.7,AH1906,,,,,
AH1907,,,,Soda_Fire,RRO,Dwarf,2019,209,NA,NA,114,11-Feb-19,Remnant,Unclean,70.1,AH1907,,,,,
AH1908,,,,Soda_Fire,RRO,Dwarf,2019,210,NA,NA,114,11-Feb-19,Remnant,Unclean,15.5,AH1908,,,,,
AH1909,,,,Soda_Fire,RRO,Dwarf,2019,211,NA,NA,114,11-Feb-19,Remnant,Unclean,10.4,AH1909,,,,,
AH1910,,,,Soda_Fire,RRO,Wyoming,2019,212,NA,NA,114,11-Feb-19,Remnant,Unclean,73.4,AH1910,,,,,
AH1911,,,,Soda_Fire,RRO,Dwarf,2019,213,NA,NA,114,11-Feb-19,Remnant,Unclean,23.2,AH1911,,,,,
AH1912,,,,Soda_Fire,RRO,Wyoming,2019,214,NA,NA,114,11-Feb-19,Remnant,Unclean,18.1,AH1912,,,,,
AH1913,,,,Soda_Fire,RRO,Wyoming,2019,215,NA,NA,114,11-Feb-19,Remnant,Unclean,17,AH1913,,,,,
AH1914,,,,Soda_Fire,RRO,Wyoming,2019,216,NA,NA,114,11-Feb-19,Remnant,Unclean,14.8,AH1914,,,,,
AH1915,,,,Soda_Fire,RGF,Dwarf,2019,217,NA,NA,108,11-Feb-19,Remnant,Unclean,12.6,AH1915,,,,,
AH1916,,,,Soda_Fire,RGF,Wyoming,2019,218,NA,NA,105,4-Jan-19,New,Unclean,13.9,AH1916,,,,,
AH1917,,,,Soda_Fire,RGF,Wyoming,2019,219,NA,NA,105,4-Jan-19,New,Unclean,12.7,AH1917,,,,,
AH1918,,,,Soda_Fire,RGF,Dwarf,2019,220,NA,NA,105,4-Jan-19,Remnant,Unclean,17.6,AH1918,,,,,
AH1919,,,,Soda_Fire,RGF,Wyoming,2019,221,NA,NA,105,4-Jan-19,New,Unclean,14.9,AH1919,,,,,
AH1920,,,,Soda_Fire,RGF,Wyoming,2019,222,NA,NA,105,4-Jan-19,New,Unclean,10.9,AH1920,,,,,
AH1921,,,,Soda_Fire,RGF,Wyoming,2019,223,NA,NA,105,4-Jan-19,Remnant,Unclean,12.7,AH1921,,,,,
AH1925,,,,Soda_Fire,RGF,Wyoming,2019,227,NA,NA,105,4-Jan-19,Remnant,Unclean,18.3,AH1925,,,,,
AH1926,,,,Soda_Fire,RGF,Dwarf,2019,228,NA,NA,105,4-Jan-19,Remnant,Unclean,13.8,AH1926,,,,,
AH1927,,,,Soda_Fire,RGF,Wyoming,2019,229,NA,NA,105,4-Jan-19,New,Unclean,17,AH1927,,,,,
AH1930,,,,Soda_Fire,RGF,Dwarf,2019,232,NA,NA,108,3-Jan-19,Remnant,Unclean,46,AH1930,,,,,
AH1931,,,,Soda_Fire,RGF,Dwarf,2019,233,NA,NA,108,3-Jan-19,Remnant,Unclean,11.7,AH1931,,,,,
AH1932,,,,Soda_Fire,ROCK,Wyoming,2019,234,NA,NA,113,3-Jan-19,New,Unclean,81.4,AH1932,,,,,
AH1933,,,,Soda_Fire,ROCK,Wyoming,2019,235,NA,NA,113,3-Jan-19,New,Unclean,51.8,AH1933,,,,,
AH1934,,,,Soda_Fire,ROCK,Wyoming,2019,236,NA,NA,113,3-Jan-19,New,Unclean,1.6,AH1934,,,,,
AH1935,,,,Soda_Fire,ROCK,Wyoming,2019,237,NA,NA,113,3-Jan-19,New,Unclean,20.5,AH1935,,,,,
AH1936,,,,Soda_Fire,ROCK,Wyoming,2019,12,NA,NA,113,3-Jan-19,New,Unclean,17.8,AH1936,,,,,
AH1937,,,,Soda_Fire,RRO,Wyoming,2019,17,NA,NA,110,3-Jan-19,New,Unclean,34.4,AH1937,,,,,
AH1941,,,,Soda_Fire,RGF,Dwarf,2019,21,NA,NA,108,3-Jan-19,New,Unclean,13.1,AH1941,,,,,
AH1943,,,,Soda_Fire,RGF,Dwarf,2019,24,NA,NA,108,3-Jan-19,Remnant,Unclean,63,AH1943,,,,,
AH1945,,,,Soda_Fire,RGF,Wyoming,2019,41,NA,NA,107,3-Jan-19,New,Unclean,22.2,AH1945,,,,,
AH1946,,,,Soda_Fire,RGF,Wyoming,2019,46,NA,NA,107,3-Jan-19,New,Unclean,16.4,AH1946,,,,,
AH1947,,,,Soda_Fire,RGF,Wyoming,2019,224,NA,NA,107,3-Jan-19,Remnant,Unclean,82.1,AH1947,,,,,
AH1948,,,,Soda_Fire,RGF,Wyoming,2019,225,NA,NA,107,3-Jan-19,Remnant,Unclean,67.6,AH1948,,,,,
AH1954,,,,Soda_Fire,RRO,Dwarf,2019,226,NA,NA,110,3-Jan-19,New,Unclean,13.9,AH1954,,,,,
AH1955,,,,Soda_Fire,ROCK,Wyoming,2019,230,NA,NA,113,3-Jan-19,Remnant,Unclean,20.9,AH1955,,,,,
