Lab,Subspecies,Position,ID,Amount,Ampl28,Ampl44,Delta15N,Delta13C,PercentN,PercentC,Year
V-132408,Tridentata,low,T10(p),3.448,3679,7314,6.92,-27.86,2.32,45.12,2012
V-132409,Tridentata,low,T15(p),3.673,3821,7591,6.82,-27.79,2.18,44.42,2012
V-132410,Tridentata,low,T20(p),3.535,4459,7458,7.55,-28.23,2.63,44.9,2012
V-132411,Tridentata,low,T23(p),3.478,2818,7396,6.7,-28.66,1.72,45.02,2012
V-132412,Tridentata,low,T25(p),3.661,4464,7709,7.35,-29.19,2.55,45.13,2012
V-132413,Tridentata,low,T31(p),3.606,4254,7576,4.97,-27.11,2.45,45.05,2012
V-132414,Tridentata,low,T47(p),3.616,4296,7615,5.48,-28.12,2.46,45.5,2012
V-132415,Tridentata,low,T53(p),3.613,3569,7472,6.11,-28.08,2.09,44.35,2012
V-132416,Tridentata,low,T55(p),3.588,4577,7556,7.3,-27.34,2.6,45.39,2012
V-132417,Tridentata,low,T64(g),3.643,3637,7564,6.32,-28.05,2.16,44.77,2012
V-132420,Tridentata,low,T99(p),3.43,3924,7138,9.29,-27.04,2.4,44.86,2012
V-132421,Tridentata,low,T105(p),2.739,3107,5956,6.04,-27.89,2.37,46.14,2012
V-132422,Tridentata,low,T141(p),3.477,4419,7227,7.93,-28.25,2.7,45.06,2012
V-132423,Tridentata,low,T147(p),3.642,4138,7567,7.12,-28.66,2.4,45.07,2012
V-132424,Tridentata,low,T159(p),3.553,3294,7496,4.48,-28.15,1.93,45.78,2012
V-132425,Tridentata,high,T195(g),3.557,4765,7444,6.61,-27.56,2.76,45.25,2012
V-132426,Tridentata,high,T213(g),3.525,4138,7335,5.49,-28.33,2.43,44.98,2012
V-132427,Tridentata,high,T304(g),3.507,4225,7408,6.34,-25.57,2.53,45.99,2012
V-132428,Tridentata,high,T311(g),3.603,4417,7317,6.13,-27.8,2.54,44.3,2012
V-132429,Wyomingensis,high,W347,3.453,4037,7107,3.6,-25.81,2.4,44.9,2012
V-132432,Wyomingensis,high,W356,3.479,3506,7138,6.32,-27.48,2.17,44.62,2012
V-132433,Wyomingensis,high,W357,3.55,3691,7326,6.28,-26.9,2.14,45.24,2012
V-132434,Wyomingensis,high,W366,3.596,2810,7492,7.31,-28.55,1.64,45.67,2012
V-132435,Wyomingensis,high,W372,3.624,3182,7521,5.37,-25.54,1.88,45.62,2012
V-132436,Wyomingensis,high,W378,3.658,4481,7427,5.44,-28.43,2.6,44.53,2012
V-132437,Wyomingensis,high,W417,3.534,3408,7340,5.45,-27.61,2.09,45.21,2012
V-132438,Wyomingensis,high,W418,3.525,4291,7196,8.5,-27.9,2.6,44.76,2012
V-132439,Wyomingensis,high,W436,3.471,4265,7180,5.48,-27.45,2.57,45.46,2012
V-132444,Wyomingensis,high,W216,3.55,3854,7299,6.82,-27.42,2.27,45.13,2012
V-132445,Wyomingensis,high,W233,3.597,3560,7359,5.03,-27.4,2.11,45.01,2012
V-132446,Wyomingensis,high,W235,3.555,3723,7318,5.97,-27.39,2.21,44.86,2012
V-132447,Wyomingensis,high,W236,3.513,3781,7228,5.54,-25.99,2.23,44.99,2012
V-132448,Wyomingensis,high,W262,3.582,4059,7375,5.82,-26.18,2.32,45.39,2012
V-132449,Wyomingensis,high,W271,3.596,3622,7283,5.9,-27.04,2.15,44.56,2012
V-132450,Wyomingensis,high,W287,3.592,3725,7392,3.69,-27.15,2.17,45.13,2012
V-132451,Wyomingensis,high,W296,3.416,3320,7005,5.92,-27.18,2.05,44.6,2012
V-132452,Wyomingensis,high,W305,3.636,3756,7516,5.62,-27.16,2.14,45.38,2012
V-132453,Wyomingensis,high,W63,3.456,4055,7185,5.61,-27.77,2.44,45.69,2012
V-132456,Wyomingensis,high,W70,3.469,3843,7094,6.66,-27.05,2.34,44.61,2012
V-132457,Wyomingensis,high,W71,3.497,4052,7160,6.68,-27.93,2.42,44.64,2012
V-132458,Wyomingensis,high,W84,3.483,3233,7143,7.19,-28.44,1.93,44.66,2012
V-132459,Wyomingensis,high,W93,3.525,3407,7185,5.81,-27.9,2,44.45,2012
V-132460,Wyomingensis,high,W101,3.571,3519,7441,3.97,-27.89,2.08,45.36,2012
V-132461,Wyomingensis,high,W135,3.572,4510,7441,7.48,-28.36,2.6,45.56,2012
V-132462,Wyomingensis,high,W138,3.58,3287,7294,6.02,-28.8,1.89,44.83,2012
V-132463,Wyomingensis,high,W157,3.631,3770,7364,5.74,-28.32,2.11,44.32,2012
V-132464,Wyomingensis,high,W189,3.471,3368,7166,6.16,-28.8,2,44.85,2012
V-132465,Vaseyana,high,V377(b),3.628,3779,7500,4.48,-27.74,2.14,45.44,2012
V-132468,Vaseyana,high,V379(b),3.543,2854,7358,4.43,-28.83,1.68,45.17,2012
V-132469,Vaseyana,low,V401,3.548,2521,7438,3.74,-26.13,1.51,45.89,2012
V-132470,Vaseyana,high,V403(b),3.599,3420,7459,5.85,-26.54,1.99,45.1,2012
V-132471,Vaseyana,low,V413,3.493,3336,7328,5.76,-26.76,1.96,45.69,2012
V-132472,Vaseyana,high,V421(b),3.552,4392,7305,6.44,-25.32,2.5,44.89,2012
V-132473,Vaseyana,high,V456(b),3.455,3728,7312,6.68,-28.72,2.25,46.18,2012
V-132474,Vaseyana,low,V458,3.529,2927,7033,5.9,-29.13,1.74,43.41,2012
V-132475,Vaseyana,low,V459,3.545,3587,7366,7.22,-27.59,2.08,45.45,2012
V-132476,Vaseyana,high,V267(b),3.53,4264,7191,4.97,-26.63,2.47,44.08,2012
V-132477,Vaseyana,low,V281,3.512,3785,7277,5.09,-27.59,2.26,45.33,2012
V-132480,Vaseyana,high,V290(b),3.502,3669,7322,5.8,-28.07,2.14,45.65,2012
V-132481,Vaseyana,high,V291(b),3.436,3796,7183,4.9,-25.7,2.25,45.33,2012
V-132482,Vaseyana,high,V293(b),3.528,3458,7208,4.97,-26.81,2.01,44.45,2012
V-132483,Vaseyana,high,V314(b),3.537,4125,7298,6.77,-27.89,2.37,45.05,2012
V-132484,Vaseyana,high,V320(b),3.537,4165,7390,4.85,-25.17,2.42,45.9,2012
V-132485,Vaseyana,high,V339(b),3.628,3993,7576,4.45,-28.46,2.24,45.48,2012
V-132533,Vaseyana,high,V358(b),3.599,3780,7400,4.53,-26.52,2.28,45.04,2012
V-132534,Vaseyana,high,V374(b),3.576,2912,7699,3.4,-26.03,1.79,47.31,2012
V-132535,Vaseyana,low,V205,3.594,3473,7595,6.06,-27.92,2.14,46.45,2012
V-132536,Vaseyana,high,V209(b),3.595,3667,7623,4.49,-26.31,2.21,46.28,2012
V-132537,Vaseyana,low,V212,3.526,2965,7434,3.44,-26.33,1.84,45.75,2012
V-132538,Vaseyana,low,V217,3.522,2169,7388,2.71,-29.16,1.45,45.62,2012
V-132539,Vaseyana,low,V220,3.454,2794,7384,4.67,-27.2,1.81,46.01,2012
V-132540,Vaseyana,low,V224,3.544,3313,7594,6.23,-27.91,2.06,46.49,2012
V-132541,Vaseyana,high,V245(b),3.551,3539,7692,5.08,-26.69,2.15,46.96,2012
V-132542,Vaseyana,low,V261,3.542,2974,7368,3.99,-27.09,1.86,44.93,2012
V-132545,Vaseyana,high,V265(b),3.612,3622,7567,4.77,-28.38,2.17,45.42,2012
V-132546,Vaseyana,low,V266,3.578,2845,7539,4.57,-26.62,1.8,46.1,2012
V-132547,Vaseyana,low,V128,3.605,3069,7529,5.12,-28.85,1.96,45.69,2012
V-132548,Vaseyana,low,V130,3.527,3426,7360,6.04,-28.81,2.12,45.34,2012
V-132549,Vaseyana,low,V131,3.603,3390,7569,5.69,-27.96,2.04,45.5,2012
V-132550,Vaseyana,low,V132,3.589,3608,7445,6.6,-29.15,2.19,44.94,2012
V-132551,Vaseyana,low,V150,3.464,2702,7253,4.51,-27.7,1.76,45.21,2012
V-132552,Vaseyana,high,V177(b),3.63,3910,7556,6.09,-26.56,2.32,45.44,2012
V-132553,Vaseyana,high,V183(b),3.531,3679,7515,4.2,-26.3,2.24,46.17,2012
V-132554,Vaseyana,high,V185(b),3.541,3819,7524,5.31,-27.04,2.37,46.49,2012
V-132557,Vaseyana,high,V186(b),3.624,3878,7890,6.24,-26.56,2.3,47.7,2012
V-132558,Vaseyana,high,V193(b),3.552,3934,7586,5.24,-26.22,2.42,46.88,2012
V-132559,Vaseyana,low,V6,3.612,3607,7626,5.31,-27.77,2.2,46.17,2012
V-132560,Vaseyana,low,V43,3.487,3886,7259,7.29,-28.44,2.44,45.65,2012
V-132561,Vaseyana,low,V48,3.55,3616,7376,5.88,-25.69,2.22,45.74,2012
V-132562,Vaseyana,low,V72,3.615,3068,7519,5.42,-27.54,1.91,45.45,2012
V-132563,Vaseyana,low,V74,3.487,2863,7366,4.59,-27.35,1.85,45.93,2012
V-132564,Vaseyana,high,V102(b),3.511,3325,7495,7.34,-26.79,2.08,46.72,2012
V-132569,Vaseyana,low,V111,3.558,3915,7411,7.09,-26.05,2.36,45.55,2012
