Lab,Sample ID,Amount,Ampl  28,Ampl  44,d15N,d13C,WeightN,WeightC,Subspecies,Year
V-134639,6,3.506,3714,7407,4.88,-27.15,2.33,45.87,V,2021
V-134644,23,3.572,2433,7179,4.3,-26.44,1.47,45.46,T,2021
V-134645,25,3.559,3199,7183,4.67,-28.33,1.92,45.76,T,2021
V-134646,53,3.473,2757,6872,5.04,-28.47,1.74,44.77,T,2021
V-134647,54,3.473,3196,6832,4.96,-29.24,2.02,44.45,T,2021
V-134648,56,3.523,3303,7141,2.48,-29.15,2.05,45.85,W,2021
V-134649,57,3.479,3250,7046,4.08,-27.52,2.02,45.77,W,2021
V-134650,60,3.548,2822,7122,4.03,-27.15,1.74,45.44,W,2021
V-134651,63,3.61,3424,7288,5.97,-27.85,2.03,45.75,W,2021
V-134652,64,3.632,3283,7348,3.88,-27.71,1.98,46.09,T,2021
V-134653,70,3.613,3035,7422,5.46,-24.73,1.77,46.79,W,2021
V-134656,72,3.544,3319,7272,4.28,-29.22,2.01,46.48,V,2021
V-134657,80,3.563,3076,7089,3.99,-28.87,1.85,45.18,W,2021
V-134658,91,3.589,3323,7222,3.82,-27.37,2.01,45.67,T,2021
V-134659,93,3.59,3174,7124,4.92,-29.21,1.92,45.34,W,2021
V-134660,99,3.493,2629,7108,5.93,-25.79,1.63,46.46,T,2021
V-134661,113,3.487,3800,7034,5.45,-27.03,2.35,46.06,T,2021
V-134662,131,3.571,3795,7311,4,-28.36,2.27,46.79,V,2021
V-134663,135,3.46,3257,7098,5.16,-28.5,2.06,46.35,W,2021
V-134664,158,3.528,3748,7158,5.39,-25.97,2.29,46.43,T,2021
V-134665,159,3.448,3146,6934,3.94,-28.77,1.98,46.01,T,2021
V-134668,164,3.61,2874,7239,4.02,-27.91,1.72,46.01,T,2021
V-134669,166,3.577,3445,7129,5.46,-26.98,2.09,45.55,W,2021
V-134670,169,3.579,3819,7250,5.69,-27.07,2.33,46.3,T,2021
V-134671,172,3.634,3245,7360,4.48,-27.44,1.88,46.07,T,2021
V-134672,181,3.612,4736,7174,4.1,-25.44,2.82,45.53,T,2021
V-134673,189,3.463,3391,6891,5.35,-29,2.12,45.62,W,2021
V-134674,190,3.569,3513,7044,5.42,-27.73,2.13,45.57,T,2021
V-134675,192,3.56,3107,6925,5.19,-26.42,1.89,46.42,T,2021
V-134676,194/294,3.55,3280,6891,5.81,-27.04,2,46.16,T,2021
V-134677,195/296,3.575,2786,6828,4.28,-27.33,1.68,45.26,T/W,2021
V-134680,199,3.505,3142,6609,3.91,-28.3,1.98,46.05,T,2021
V-134681,201,3.417,3027,6488,4.49,-28.78,2.01,45.91,T,2021
V-134682,205,3.477,3079,6699,3.58,-28.03,1.97,46.49,V,2021
V-134683,208,3.422,3125,6488,4.56,-27.25,2.03,45.65,T,2021
V-134684,211,3.49,3499,6763,4.22,-28.65,2.25,46.42,T,2021
V-134685,216,3.481,3131,6631,2.97,-27.69,2.02,45.87,W,2021
V-134721,218,3.597,3632,6753,4.02,-26.79,2.18,46.24,T,2021
V-134722,225,3.627,3890,6788,4.07,-25.79,2.34,46.01,T,2021
V-134723,229,3.598,3183,6720,4.28,-28.03,1.93,46.11,T,2021
V-134724,233,3.506,3264,6646,5.97,-26.97,2.04,46.39,W,2021
V-134725,248,3.528,2939,6641,4.59,-27.45,1.82,45.92,T,2021
V-134726,252,3.592,2798,6554,5.32,-29.63,1.71,44.65,W,2021
V-134727,262,3.513,3897,6559,5.45,-27.86,2.45,45.67,W,2021
V-134728,268,3.633,3354,6814,3.9,-27.41,2,46.17,T,2021
V-134729,269,3.618,3922,6811,4.13,-26.43,2.37,46.36,T,2021
V-134730,271,3.423,2930,6374,5.62,-27.24,1.88,45.68,W,2021
V-134733,272,3.514,3060,6537,4.52,-28.08,1.94,45.95,W,2021
V-134734,273,3.63,4045,6808,4.17,-27.08,2.45,46.53,T,2021
V-134735,300,3.51,3143,6700,4.97,-28.32,1.99,46.99,T,2021
V-134736,304,3.45,3187,6570,5.9,-26.88,2.03,47.07,T,2021
V-134737,311,3.641,3979,6902,4.47,-27.27,2.36,46.78,T,2021
V-134738,322,3.559,3865,6776,4.82,-26.48,2.34,47.06,T,2021
V-134739,328,3.535,4242,6756,4.67,-25.86,2.6,47.52,T,2021
V-134740,333,3.531,3305,6681,4.94,-26.79,2.07,46.81,T,2021
V-134741,343,3.545,2831,6514,3.64,-28.88,1.76,45.65,W,2021
V-134742,347,3.616,3242,6724,3.68,-27.75,1.99,45.92,W,2021
V-134745,349,3.616,3226,6707,3.57,-27.6,1.97,46.52,T,2021
V-134746,356,3.455,3801,6332,5.43,-28.28,2.41,45.51,W,2021
V-134747,366,3.436,2767,6379,5.32,-29.64,1.79,45.57,W,2021
V-134748,372,3.646,3245,6716,5.3,-25.88,1.94,45.8,W,2021
V-134749,379,3.597,3014,6767,3.59,-29.24,1.86,46.22,V,2021
V-134750,380,3.466,3164,6452,4.67,-26.15,2.02,45.69,T,2021
V-134751,381,3.57,3535,6671,4.31,-27.03,2.17,46.1,T,2021
V-134752,387,3.509,3267,6609,4.09,-26.42,2.06,46.58,W,2021
V-134757,388,3.526,3852,6771,0.15,-26.13,2.42,47.45,T,2021
V-134758,392,3.449,3230,6436,3.33,-27.06,2.08,45.94,W,2021
V-134759,394,3.455,3662,6293,6.61,-27.22,2.31,44.87,T,2021
V-134760,403,3.509,3081,6433,2.38,-27.06,1.95,45.56,V,2021
V-134761,405,3.512,3044,6582,3.11,-27.89,1.93,46.31,W,2021
V-134762,418,3.495,3462,6589,5.8,-25.8,2.18,46.52,W,2021
V-134763,441,3.526,3807,6755,5.77,-25.72,2.37,47.27,T,2021
V-134764,450,3.472,3675,6427,5.8,-27.62,2.33,45.68,T,2021
V-134765,466,3.559,3731,6665,9.55,-28.01,2.32,46.21,T,2021
