"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","cluster_assignments"
"AZT.1.10_2012",FALSE,423,"A","OCG","AZ","T","2012","AZT.1.10","4n","T_4n",NA,NA,NA,NA,156.2,"AZT.1.10_2012","AZT-1","Desert View",35.91738,-111.77287,1898,5
"AZT.1.3_2012",TRUE,159,"A","OCG","AZ","T","2012","AZT.1.3","4n","T_4n",NA,NA,NA,NA,NA,"AZT.1.3_2012","AZT-1","Desert View",35.91738,-111.77287,1898,5
"AZT.1.7_2012",TRUE,211,"A","OCG","AZ","T","2012","AZT.1.7","4n","T_4n",NA,NA,NA,NA,26.1,"AZT.1.7_2012","AZT-1","Desert View",35.91738,-111.77287,1898,5
"AZTW.1.5_2012",TRUE,54,"A","OCG","AZ","T","2012","AZTW.1.5","4n","T_4n",NA,NA,NA,NA,37.6,"AZTW.1.5_2012","AZW-1","Williams",35.82478,-112.13125,1914,5
"AZTW.1.7_2012",TRUE,300,"A","OCG","AZ","T","2012","AZTW.1.7","4n","T_4n",NA,NA,NA,NA,11.3,"AZTW.1.7_2012","AZW-1","Williams",35.82478,-112.13125,1914,5
"AZTW.1.8_2012",TRUE,229,"A","OCG","AZ","T","2012","AZTW.1.8","4n","T_4n",NA,NA,NA,NA,27.7,"AZTW.1.8_2012","AZW-1","Williams",35.82478,-112.13125,1914,5
"CAT.1.1_2012",TRUE,388,"A","OCG","CA","T","2012","CAT.1.1","2n","T_2n",NA,NA,NA,NA,78.6,"CAT.1.1_2012","CAT-1","Smoke Creek",40.5414,-119.9194,1213,3
"CAT.1.5_2012",TRUE,225,"A","OCG","CA","T","2012","CAT.1.5","2n","T_2n",NA,NA,NA,NA,38.5,"CAT.1.5_2012","CAT-1","Smoke Creek",40.5414,-119.9194,1213,5
"CAT.2.4_2012",TRUE,466,"A","OCG","CA","T","2012","CAT.2.4","2n","T_2n",NA,NA,NA,NA,57.2,"CAT.2.4_2012","CAT-2","Benton B",37.7973,-118.5704,1974,5
"CAT.2.7_2012",FALSE,47,"D","OCG","CA","T","2012","CAT.2.7","2n","T_2n",NA,NA,NA,NA,22.9,"CAT.2.7_2012","CAT-2","Benton B",37.7973,-118.5704,1974,4
"CAV.1.10_2012",FALSE,48,"D","OCG","CA","V","2012","CAV.1.10","2n","V_2n",NA,NA,NA,NA,22.2,"CAV.1.10_2012","CAV-1","Jack's Valley",40.5049,-120.5617,1535,4
"CAV.1.4_2012",FALSE,130,"D","OCG","CA","V","2012","CAV.1.4","2n","V_2n",NA,NA,NA,NA,24.9,"CAV.1.4_2012","CAV-1","Jack's Valley",40.5049,-120.5617,1535,5
"CAV.1.6_2012",FALSE,217,"D","OCG","CA","V","2012","CAV.1.6","2n","V_2n",NA,NA,NA,NA,24.9,"CAV.1.6_2012","CAV-1","Jack's Valley",40.5049,-120.5617,1535,5
"CAV.1.7_2012",FALSE,401,"D","OCG","CA","V","2012","CAV.1.7","2n","V_2n",NA,NA,NA,NA,19.8,"CAV.1.7_2012","CAV-1","Jack's Valley",40.5049,-120.5617,1535,5
"CAV.1.9_2012",FALSE,128,"D","OCG","CA","V","2012","CAV.1.9","2n","V_2n",NA,NA,NA,NA,22.3,"CAV.1.9_2012","CAV-1","Jack's Valley",40.5049,-120.5617,1535,5
"CAV.2.10_2012",FALSE,121,"D","OCG","CA","V","2012","CAV.2.10","2n","V_2n",NA,NA,NA,NA,19.9,"CAV.2.10_2012","CAV-2","Benton V",37.7234,-118.5926,2330,5
"CAV.2.6_2012",FALSE,458,"D","OCG","CA","V","2012","CAV.2.6","2n","V_2n",NA,NA,NA,NA,25.9,"CAV.2.6_2012","CAV-2","Benton V",37.7234,-118.5926,2330,4
"CAV.3.6_2012",FALSE,126,"D","OCG","CA","V","2012","CAV.3.6","4n","V_4n",NA,NA,NA,NA,18.5,"CAV.3.6_2012","CAV-3","Jucamba",32.6458,-116.1864,827,4
"CAV.4.1_2012",FALSE,293,"D","OCG","CA","V","2012","CAV.4.1","4n","V_4n",NA,NA,NA,NA,20.8,"CAV.4.1_2012","CAV-4","Tejon Pass",34.8251,-118.8724,1120,4
"CAV.4.4_2012",FALSE,132,"D","OCG","CA","V","2012","CAV.4.4","4n","V_4n",NA,NA,NA,NA,14.9,"CAV.4.4_2012","CAV-4","Tejon Pass",34.8251,-118.8724,1120,4
"CAVW.3.1_2012",FALSE,43,"D","OCG","CA","V","2012","CAVW.3.1","2n","V_2n",NA,NA,NA,NA,14.1,"CAVW.3.1_2012","CAW-3","Fredonyer Peak",40.6328,-120.6064,1884,4
"CAVW.3.5_2012",FALSE,177,"D","OCG","CA","V","2012","CAVW.3.5","2n","V_2n",NA,NA,NA,NA,28,"CAVW.3.5_2012","CAW-3","Fredonyer Peak",40.6328,-120.6064,1884,4
"CAVW.3.8_2012",FALSE,358,"D","OCG","CA","V","2012","CAVW.3.8","2n","V_2n",NA,NA,NA,NA,16.8,"CAVW.3.8_2012","CAW-3","Fredonyer Peak",40.6328,-120.6064,1884,4
"COVW.2.2_2012",TRUE,131,"A","OCG","CO","V","2012","COVW.2.2","4n","V_4n",NA,NA,NA,NA,11.8,"COVW.2.2_2012","COW-2","Meeker",40.1813,-108.4555,1788,5
"COVW.2.3_2012",TRUE,72,"A","OCG","CO","V","2012","COVW.2.3","4n","V_4n",NA,NA,NA,NA,19.7,"COVW.2.3_2012","COW-2","Meeker",40.1813,-108.4555,1788,5
"COVW.2.6_2012",FALSE,224,"D","OCG","CO","V","2012","COVW.2.6","4n","V_4n",NA,NA,NA,NA,22.8,"COVW.2.6_2012","COW-2","Meeker",40.1813,-108.4555,1788,5
"COVW.2.7_2012",TRUE,379,"A","OCG","CO","V","2012","COVW.2.7","4n","V_4n",NA,NA,NA,NA,17.4,"COVW.2.7_2012","COW-2","Meeker",40.1813,-108.4555,1788,1
"COW.1.2_2012",TRUE,252,"A","OCG","CO","W","2012","COW.1.2","4n","W_4n",NA,NA,NA,NA,NA,"COW.1.2_2012","COW-1","Rifle A",39.6127,-107.81,1790,4
"COW.1.8_2012",FALSE,138,"D","OCG","CO","W","2012","COW.1.8","4n","W_4n",NA,NA,NA,NA,13.7,"COW.1.8_2012","COW-1","Rifle A",39.6127,-107.81,1790,5
"IDT.1.10_2012",TRUE,218,"A","OCG","ID","T","2012","IDT.1.10","2n","T_2n",NA,NA,NA,NA,20.2,"IDT.1.10_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949,3
"IDT.1.2_2012",TRUE,269,"A","OCG","ID","T","2012","IDT.1.2","2n","T_2n",NA,NA,NA,NA,34.8,"IDT.1.2_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949,3
"IDT.1.3_2012",TRUE,328,"A","OCG","ID","T","2012","IDT.1.3","2n","T_2n",NA,NA,NA,NA,57.8,"IDT.1.3_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949,3
"IDT.1.4_2012",FALSE,429,"A","OCG","ID","T","2012","IDT.1.4","2n","T_2n",NA,NA,NA,NA,30.2,"IDT.1.4_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949,5
"IDT.1.6_2012",TRUE,322,"A","OCG","ID","T","2012","IDT.1.6","2n","T_2n",NA,NA,NA,NA,61.9,"IDT.1.6_2012","IDT-1","Old Oregon Trail Rd",43.09619,-115.65692,949,3
"IDT.2.4_2012",TRUE,273,"A","OCG","ID","T","2012","IDT.2.4","2n","T_2n",NA,NA,NA,NA,47.8,"IDT.2.4_2012","IDT-2","Orchard",43.33708,-116.00814,939,3
"IDT.3.3_2012",FALSE,230,"D","OCG","ID","T","2012","IDT.3.3","2n","T_2n",NA,NA,NA,NA,14.6,"IDT.3.3_2012","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358,5
"IDT.3.5_2012",TRUE,199,"A","OCG","ID","T","2012","IDT.3.5","2n","T_2n",NA,NA,NA,NA,46.4,"IDT.3.5_2012","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358,2
"IDT.3.9_2012",TRUE,441,"A","OCG","ID","T","2012","IDT.3.9","2n","T_2n",NA,NA,NA,NA,114.4,"IDT.3.9_2012","IDT-3","Hwy 95 hilltop",43.3366,-116.9641,1358,3
"IDV.2.7_2012",FALSE,120,"D","OCG","ID","V","2012","IDV.2.7","2n","V_2n",NA,NA,NA,NA,26.7,"IDV.2.7_2012","IDV-2","Dunnigan Cr",43.6776,-115.9738,1003,5
"IDV.2.8_2012",FALSE,377,"D","OCG","ID","V","2012","IDV.2.8","2n","V_2n",NA,NA,NA,NA,26.3,"IDV.2.8_2012","IDV-2","Dunnigan Cr",43.6776,-115.9738,1003,4
"IDV.3.4_2012",FALSE,459,"D","OCG","ID","V","2012","IDV.3.4","2n","V_2n",NA,NA,NA,NA,19.2,"IDV.3.4_2012","IDV-3","Stanley",44.259,-114.6402,1766,4
"IDV.3.5_2012",FALSE,320,"D","OCG","ID","V","2012","IDV.3.5","2n","V_2n",NA,NA,NA,NA,18.5,"IDV.3.5_2012","IDV-3","Stanley",44.259,-114.6402,1766,4
"IDV.3.7_2012",FALSE,111,"D","OCG","ID","V","2012","IDV.3.7","2n","V_2n",NA,NA,NA,NA,25.5,"IDV.3.7_2012","IDV-3","Stanley",44.259,-114.6402,1766,4
"IDV.3.8_2012",FALSE,209,"D","OCG","ID","V","2012","IDV.3.8","2n","V_2n",NA,NA,NA,NA,20.4,"IDV.3.8_2012","IDV-3","Stanley",44.259,-114.6402,1766,4
"IDV.5.1_2012",FALSE,185,"D","OCG","ID","V","2012","IDV.5.1","2n","V_2n",NA,NA,NA,NA,24,"IDV.5.1_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309,5
"IDV.5.10_2012",FALSE,266,"D","OCG","ID","V","2012","IDV.5.10","2n","V_2n",NA,NA,NA,NA,25,"IDV.5.10_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309,4
"IDV.5.2_2012",FALSE,339,"D","OCG","ID","V","2012","IDV.5.2","2n","V_2n",NA,NA,NA,NA,21.7,"IDV.5.2_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309,5
"IDV.5.7_2012",FALSE,456,"D","OCG","ID","V","2012","IDV.5.7","2n","V_2n",NA,NA,NA,NA,17.6,"IDV.5.7_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309,5
"IDV.5.8_2012",FALSE,102,"A","OCG","ID","V","2012","IDV.5.8","2n","V_2n",NA,NA,NA,NA,24.9,"IDV.5.8_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309,4
"IDV.5.9_2012",FALSE,193,"D","OCG","ID","V","2012","IDV.5.9","2n","V_2n",NA,NA,NA,NA,24.7,"IDV.5.9_2012","IDV-5","Pearl Rd",43.8385,-116.2559,1309,5
"IDW.1.2_2012",TRUE,387,"A","OCG","ID","W","2012","IDW.1.2","4n","W_4n",NA,NA,NA,NA,NA,"IDW.1.2_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,3
"IDW.1.3_2012",FALSE,71,"D","OCG","ID","W","2012","IDW.1.3","4n","W_4n",NA,NA,NA,NA,15.4,"IDW.1.3_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,5
"IDW.1.4_2012",TRUE,347,"A","OCG","ID","W","2012","IDW.1.4","4n","W_4n",NA,NA,NA,NA,28.1,"IDW.1.4_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,4
"IDW.1.5_2012",TRUE,262,"A","OCG","ID","W","2012","IDW.1.5","4n","W_4n",NA,NA,NA,NA,18.1,"IDW.1.5_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,3
"IDW.1.6_2012",TRUE,392,"A","OCG","ID","W","2012","IDW.1.6","4n","W_4n",NA,NA,NA,NA,NA,"IDW.1.6_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,3
"IDW.1.7_2012",TRUE,63,"A","OCG","ID","W","2012","IDW.1.7","4n","W_4n",NA,NA,NA,NA,9.4,"IDW.1.7_2012","IDW-1","Old Oregon Trail Rd",43.0931,-115.6528,963,3
