"","Paired","Garden Plant ID","2020 STATUS","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","Plant Group","Site","Latitude","Longitude","Elevation (m)","effective_species","cluster_assignments"
"AZT.1.10_2012",FALSE,423,"A","OCG","AZ","T","2012","AZT.1.10","4n","T_4n",NA,NA,NA,NA,156.2,"AZT.1.10_2012","AZT-1","Desert View",35.91738,-111.77287,1898,74,2
"AZT.1.3_2021",TRUE,159,"","OCG","AZ","T","2021","AZT.1.3","4n","T_4n",NA,NA,NA,NA,158.8,"AZT.1.3_2021","AZT-1","Desert View",35.91738,-111.77287,1898,71,3
"AZT.1.7_2012",TRUE,211,"A","OCG","AZ","T","2012","AZT.1.7","4n","T_4n",NA,NA,NA,NA,26.1,"AZT.1.7_2012","AZT-1","Desert View",35.91738,-111.77287,1898,64,3
"AZT.1.7_2021",TRUE,211,"","OCG","AZ","T","2021","AZT.1.7","4n","T_4n",NA,NA,NA,NA,15.3,"AZT.1.7_2021","AZT-1","Desert View",35.91738,-111.77287,1898,68,3
"AZTW.1.5_2012",TRUE,54,"A","OCG","AZ","T","2012","AZTW.1.5","4n","T_4n",NA,NA,NA,NA,37.6,"AZTW.1.5_2012","AZW-1","Williams",35.82478,-112.13125,1914,62,3
"AZTW.1.5_2021",TRUE,54,"","OCG","AZ","T","2021","AZTW.1.5","4n","T_4n",NA,NA,NA,NA,38.4,"AZTW.1.5_2021","AZW-1","Williams",35.82478,-112.13125,1914,67,3
"AZTW.1.7_2021",TRUE,300,"A","OCG","AZ","T","2021","AZTW.1.7","4n","T_4n",NA,NA,NA,NA,72.3,"AZTW.1.7_2021","AZW-1","Williams",35.82478,-112.13125,1914,67,3
"AZTW.1.8_2012",TRUE,229,"A","OCG","AZ","T","2012","AZTW.1.8","4n","T_4n",NA,NA,NA,NA,27.7,"AZTW.1.8_2012","AZW-1","Williams",35.82478,-112.13125,1914,57,3
"AZTW.1.8_2021",TRUE,229,"","OCG","AZ","T","2021","AZTW.1.8","4n","T_4n",NA,NA,NA,NA,41.6,"AZTW.1.8_2021","AZW-1","Williams",35.82478,-112.13125,1914,57,3
"CAT.1.1_2021",TRUE,388,"","OCG","CA","T","2021","CAT.1.1","2n","T_2n",NA,NA,NA,NA,73.4,"CAT.1.1_2021","CAT-1","Smoke Creek",40.5414,-119.9194,1213,46,2
