"Paired","Garden Plant ID","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description","",".1",".2",".3",".4",".5",".6"
TRUE,211,"OCG","AZ","T",2021,"AZT.1.7","4n","T_4n",NA,NA,NA,NA,15.3,"AZT.1.7_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,300,"OCG","AZ","T",2021,"AZTW.1.7","4n","T_4n",NA,NA,NA,NA,72.3,"AZTW.1.7_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,388,"OCG","CA","T",2021,"CAT.1.1","2n","T_2n",NA,NA,NA,NA,73.4,"CAT.1.1_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,466,"OCG","CA","T",2021,"CAT.2.4","2n","T_2n",NA,NA,NA,NA,90.2,"CAT.2.4_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,311,"OCG","CA","T",2021,"CAT.2.9","2n","T_2n",NA,NA,NA,NA,56.6,"CAT.2.9_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,131,"OCG","CO","V",2021,"COVW.2.2","4n","V_4n",NA,NA,NA,NA,49.1,"COVW.2.2_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,379,"OCG","CO","V",2021,"COVW.2.7","4n","V_4n",NA,NA,NA,NA,60.7,"COVW.2.7_2021",NA,NA,NA,NA,NA,NA,NA
FALSE,252,"OCG","CO","W",2021,"COW.1.2","4n","W_4n",NA,NA,NA,NA,51.6,"COW.1.2_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,269,"OCG","ID","T",2021,"IDT.1.2","2n","T_2n",NA,NA,NA,NA,59.4,"IDT.1.2_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,328,"OCG","ID","T",2021,"IDT.1.3","2n","T_2n",NA,NA,NA,NA,75.4,"IDT.1.3_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,322,"OCG","ID","T",2021,"IDT.1.6","2n","T_2n",NA,NA,NA,NA,60,"IDT.1.6_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,199,"OCG","ID","T",2021,"IDT.3.5","2n","T_2n",NA,NA,NA,NA,67.1,"IDT.3.5_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,441,"OCG","ID","T",2021,"IDT.3.9","2n","T_2n",NA,NA,NA,NA,116.9,"IDT.3.9_2021",NA,NA,NA,NA,NA,NA,NA
FALSE,387,"OCG","ID","W",2021,"IDW.1.2","4n","W_4n",NA,NA,NA,NA,42,"IDW.1.2_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,262,"OCG","ID","W",2021,"IDW.1.5","4n","W_4n",NA,NA,NA,NA,67.2,"IDW.1.5_2020",NA,NA,NA,NA,NA,NA,NA
FALSE,392,"OCG","ID","W",2021,"IDW.1.6","4n","W_4n",NA,NA,NA,NA,73.8,"IDW.1.6_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,233,"OCG","ID","W",2021,"IDW.3.10","4n","W_4n",NA,NA,NA,NA,69.2,"IDW.3.10_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,372,"OCG","ID","W",2021,"IDW.3.4","4n","W_4n",NA,NA,NA,NA,49.5,"IDW.3.4_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,366,"OCG","MT","W",2021,"MTW.1.2","4n","W_4n",NA,NA,NA,NA,103.4,"MTW.1.2_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,190,"OCG","NM","T",2021,"NMT.1.6","4n","T_4n",NA,NA,NA,NA,32.4,"NMT.1.6_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,113,"OCG","NM","T",2021,"NMT.1.9","4n","T_4n",NA,NA,NA,NA,56.1,"NMT.1.9_2020",NA,NA,NA,NA,NA,NA,NA
FALSE,53,"OCG","NM","T",2021,"NMT.2.3","4n","T_4n",NA,NA,NA,NA,27.4,"NMT.2.3_2020",NA,NA,NA,NA,NA,NA,NA
FALSE,99,"OCG","NM","T",2021,"NMT.2.6","4n","T_4n",NA,NA,NA,NA,30.3,"NMT.2.6_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,450,"OCG","NV","T",2021,"NVTW.1.10","2n","T_2n",NA,NA,NA,NA,115.8,"NVTW.1.10_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,394,"OCG","OR","T",2021,"ORT.1.6","2n","T_2n",NA,NA,NA,NA,83,"ORT.1.6_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,381,"OCG","OR","T",2021,"ORT.1.9","2n","T_2n",NA,NA,NA,NA,49.5,"ORT.1.9_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,380,"OCG","OR","T",2021,"ORT.2.4","2n","T_2n",NA,NA,NA,NA,65.4,"ORT.2.4_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,403,"OCG","OR","V",2021,"ORV.1.10","4n","V_4n",NA,NA,NA,NA,67.7,"ORV.1.10_2021",NA,NA,NA,NA,NA,NA,NA
FALSE,57,"OCG","OR","W",2021,"ORW.1.1","4n","W_4n",NA,NA,NA,NA,47.1,"ORW.1.1_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,333,"OCG","UT","T",2021,"UTT.1.1","2n","T_2n",NA,NA,NA,NA,65.9,"UTT.1.1_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,294,"OCG","UT","T",2021,"UTT.1.6","2n","T_2n",NA,NA,NA,NA,93.2,"UTT.1.6_2021",NA,NA,NA,NA,NA,NA,NA
FALSE,272,"OCG","UT","W",2021,"UTW.1.10","4n","W_4n",NA,NA,NA,NA,77,"UTW.1.10_2021",NA,NA,NA,NA,NA,NA,NA
FALSE,343,"OCG","UT","W",2021,"UTW.2.3","4n","W_4n",NA,NA,NA,NA,88.4,"UTW.2.3_2021",NA,NA,NA,NA,NA,NA,NA
FALSE,56,"OCG","UT","W",2021,"UTWV.2.10","4n","W_4n",NA,NA,NA,NA,36.2,"UTWV.2.10_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,349,"OCG","WA","T",2021,"WAT.1.3","2n","T_2n",NA,NA,NA,NA,103.3,"WAT.1.3_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,304,"OCG","WA","T",2021,"WAT.1.4","2n","T_2n",NA,NA,NA,NA,96.7,"WAT.1.4_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,192,"OCG","WA","T",2021,"WAT.1.6","2n","T_2n",NA,NA,NA,NA,27,"WAT.1.6_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,195,"OCG","WA","T",2021,"WAT.1.9","2n","T_2n",NA,NA,NA,NA,92.4,"WAT.1.9_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,158,"OCG","WA","T",2021,"WAT.2.1","4n","T_4n",NA,NA,NA,NA,146.7,"WAT.2.1_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,268,"OCG","WA","T",2021,"WAT.2.4","4n","T_4n",NA,NA,NA,NA,43.5,"WAT.2.4_2020",NA,NA,NA,NA,NA,NA,NA
TRUE,418,"OCG","WA","W",2021,"WAW.1.2","4n","W_4n",NA,NA,NA,NA,130.6,"WAW.1.2_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,356,"OCG","WA","W",2021,"WAW.1.3","4n","W_4n",NA,NA,NA,NA,117.6,"WAW.1.3_2021",NA,NA,NA,NA,NA,NA,NA
TRUE,135,"OCG","WA","W",2021,"WAW.1.6","4n","W_4n",NA,NA,NA,NA,65.4,"WAW.1.6_2020",NA,NA,NA,NA,NA,NA,NA
