"","Paired","Garden Plant ID","Project","Location","Subspecies","Year","Plant","Ploidy","Subsp_ploidy","Patch","Date","Veg_Type","Collection","DNA Concentration (ng/uL)","Description"
"AZT.1.7_2021",TRUE,211,"OCG","AZ","T","2021","AZT.1.7","4n","T_4n",NA,NA,NA,NA,15.3,"AZT.1.7_2021"
"AZTW.1.5_2021",TRUE,54,"OCG","AZ","T","2021","AZTW.1.5","4n","T_4n",NA,NA,NA,NA,38.4,"AZTW.1.5_2021"
"AZTW.1.7_2012",TRUE,300,"OCG","AZ","T","2012","AZTW.1.7","4n","T_4n",NA,NA,NA,NA,11.3,"AZTW.1.7_2012"
"AZTW.1.7_2021",TRUE,300,"OCG","AZ","T","2021","AZTW.1.7","4n","T_4n",NA,NA,NA,NA,72.3,"AZTW.1.7_2021"
"CAT.1.1_2012",TRUE,388,"OCG","CA","T","2012","CAT.1.1","2n","T_2n",NA,NA,NA,NA,78.6,"CAT.1.1_2012"
"CAT.1.1_2021",TRUE,388,"OCG","CA","T","2021","CAT.1.1","2n","T_2n",NA,NA,NA,NA,73.4,"CAT.1.1_2021"
"CAT.1.5_2021",TRUE,225,"OCG","CA","T","2021","CAT.1.5","2n","T_2n",NA,NA,NA,NA,77.5,"CAT.1.5_2021"
"CAT.2.4_2021",TRUE,466,"OCG","CA","T","2021","CAT.2.4","2n","T_2n",NA,NA,NA,NA,90.2,"CAT.2.4_2021"
"CAT.2.7_2012",FALSE,47,"OCG","CA","T","2012","CAT.2.7","2n","T_2n",NA,NA,NA,NA,22.9,"CAT.2.7_2012"
"CAT.2.9_2012v2",TRUE,311,"OCG","CA","T","2012","CAT.2.9","2n","T_2n",NA,NA,NA,NA,15.8,"CAT.2.9_2012"
"CAT.2.9_2021",TRUE,311,"OCG","CA","T","2021","CAT.2.9","2n","T_2n",NA,NA,NA,NA,56.6,"CAT.2.9_2021"
"CAV.1.10_2012",FALSE,48,"OCG","CA","V","2012","CAV.1.10","2n","V_2n",NA,NA,NA,NA,22.2,"CAV.1.10_2012"
"CAV.1.4_2012",FALSE,130,"OCG","CA","V","2012","CAV.1.4","2n","V_2n",NA,NA,NA,NA,24.9,"CAV.1.4_2012"
"CAV.1.6_2012",FALSE,217,"OCG","CA","V","2012","CAV.1.6","2n","V_2n",NA,NA,NA,NA,24.9,"CAV.1.6_2012"
