PointID,ssp,ploidy,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,adi,pratio,gspmtcm,tdiff,dd5mtcm,mapmtcm
AZT-1,t,4X,-111.7729,35.9174,1898,10.2,288,154,-0.7,-8,22.1,31.4,139,279,138,2507,1947,96,219,1151,3.16,2.93,0.173853997,0.534722222,-0.1078,22.8,-1.7549,-0.2016
AZW-1,t,4X,-112.1312,35.8248,1914,9.5,326,178,-0.6,-8.2,20.9,30.4,153,274,126,2292,1660,101,228,1275,3.24,3.09,0.146855328,0.54601227,-0.1068,21.5,-1.3752,-0.1956
CAT-1,t,2X,-119.9194,40.5414,1213,10.2,191,69,-1.1,-7.5,22.4,33.2,137,269,129,2514,1896,94,230,1074,0.5,0.43,0.262512066,0.361256545,-0.0759,23.5,-2.7654,-0.2101
CAT-2,t,2X,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,0.184780951,0.356,-0.1068,21.7,-2.5608,-0.3
COT-1,t,2X,-107.81,39.6127,1790,7.4,399,199,-6.1,-14,20.6,30.9,155,260,105,2031,1414,117,590,1812,1.05,0.96,0.112948916,0.498746867,-1.2139,26.7,-12.3891,-2.4339
IDT-1,t,2X,-115.6569,43.0962,949,10.2,281,102,-1.9,-6.8,23.1,33.3,130,274,144,2571,2069,96,278,941,0.57,0.48,0.180444944,0.362989324,-0.1938,25,-4.8849,-0.5339
IDT-2,t,2X,-116.0081,43.3371,939,10.4,324,121,-1.6,-6.1,23.4,32.7,125,283,158,2633,2207,95,256,812,0.51,0.38,0.158372736,0.37345679,-0.1936,25,-4.2128,-0.5184
IDT-3,t,2X,-116.9641,43.3366,1358,7.7,362,149,-3.1,-8.2,19.8,29.7,157,258,102,1916,1294,114,398,1249,0.48,0.43,0.120917506,0.41160221,-0.4619,22.9,-5.9396,-1.1222
MTT-1,t,2X,-108.8256,45.2056,1240,7.3,313,221,-6.4,-13,21,30.3,141,262,122,2059,1575,116,644,1710,0.57,0.48,0.144971902,0.706070288,-1.4144,27.4,-13.1776,-2.0032
NMT-1,t,4X,-107.2257,35.9802,2122,8.4,274,170,-3.8,-11.6,20.9,30.1,150,268,119,2171,1602,110,422,1576,2.86,3.32,0.170051062,0.620437956,-0.646,24.7,-8.2498,-1.0412
NMT-2,t,4X,-107.1478,35.7572,1979,9.9,265,170,-2.3,-9.8,22.2,31.2,140,277,136,2516,1943,98,290,1270,2.86,3.32,0.189282056,0.641509434,-0.391,24.5,-5.7868,-0.6095
NVT-1,t,2X,-117.8517,39.2922,1629,9.2,218,117,-1.8,-10,21.5,31.8,154,263,111,2226,1503,100,267,1319,0.75,0.67,0.216424332,0.536697248,-0.2106,23.3,-4.0068,-0.3924
NVT-2,t,2X,-115.3921,38.7971,1797,7.8,249,134,-3.7,-11.6,20.3,31.1,159,257,97,1989,1300,116,436,1695,1,0.98,0.179109262,0.53815261,-0.4958,24,-7.3593,-0.9213
NVW-1,t,2X,-117.7751,41.5147,1349,9.2,261,108,-1.9,-8.2,21.6,32.6,156,258,104,2247,1469,101,287,1219,0.48,0.44,0.181618895,0.413793103,-0.2052,23.5,-4.2693,-0.4959
ORT-1,t,2X,-117.1854,42.9745,1349,8,331,138,-2.9,-8.9,20.2,31,163,255,91,1977,1235,111,369,1369,0.5,0.46,0.134330719,0.416918429,-0.4002,23.1,-5.7333,-0.9599
ORT-2,t,2X,-119.2076,45.7589,223,11.5,239,80,1,-3,22.8,31.6,109,289,176,2795,2377,76,118,483,0.57,0.45,0.221204015,0.334728033,0.08,21.8,2.795,0.239
ORT-3,t,2X,-119.3665,42.3263,1782,6.4,308,139,-2.8,-8.6,17.3,27.4,171,246,71,1512,858,128,436,1486,0.51,0.45,0.126248195,0.451298701,-0.3892,20.1,-4.2336,-0.8624
ORW-2,t,2X,-119.3928,42.3166,1707,6.7,294,135,-2.5,-8.5,17.7,28,168,247,74,1594,922,124,399,1444,0.52,0.45,0.13579908,0.459183673,-0.3375,20.2,-3.985,-0.735
ORW-3,t,2X,-120.3556,44.1339,1048,8,278,120,-1.5,-7.1,18.4,29.9,174,246,70,1847,921,105,276,1244,0.62,0.68,0.154592582,0.431654676,-0.18,19.9,-2.7705,-0.417
UTT-1,t,2X,-112.5087,37.9933,2106,7,351,189,-3.9,-11.7,19.4,29.1,162,258,96,1804,1197,123,493,1801,1.55,1.46,0.121007183,0.538461538,-0.7371,23.3,-7.0356,-1.3689
UTT-2,t,2X,-109.3876,38.306,1820,9.8,305,163,-4.8,-10.5,24.4,33,128,282,154,2671,2280,107,441,1196,1.63,1.52,0.169448257,0.53442623,-0.7824,29.2,-12.8208,-1.464
UTT-3,t,2X,-112.2642,37.0402,1618,11.6,291,137,0.1,-7.2,24.1,33.6,129,285,156,2892,2329,89,155,948,2.11,1.97,0.184801782,0.470790378,0.0137,24,0.2892,0.0291
WAT-1,t,2X,-118.2278,46.7419,329,11.2,287,93,-0.1,-3.6,22.8,31.8,118,288,169,2741,2309,82,164,532,0.55,0.43,0.182420071,0.324041812,-0.0093,22.9,-0.2741,-0.0287
WAT-2,t,4X,-119.2371,46.9488,312,10.3,195,67,-1.8,-5.8,21.9,30.9,122,281,160,2566,2136,91,261,754,0.6,0.53,0.259772823,0.343589744,-0.1206,23.7,-4.6188,-0.351
CAV-2,v,2X,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,0.128287223,0.341059603,-0.2884,20,-4.2028,-0.8456
CAV-3,v,4X,-116.1864,32.6458,827,16.2,230,56,8.7,1.2,26.1,36.4,99,320,226,4129,3381,25,0,184,1.55,1.15,0.279379545,0.243478261,0.4872,17.4,35.9223,2.001
CAV-4,v,4X,-118.8724,34.8251,1120,13.7,337,54,6.2,0.9,23.5,31.2,110,321,225,3279,2781,43,7,202,0.35,0.13,0.169918556,0.160237389,0.3348,17.3,20.3298,2.0894
CAW-3,v,2X,-120.6064,40.6328,1884,5.8,436,125,-3.1,-9.4,16.3,26.9,184,238,53,1383,606,132,481,1657,0.56,0.46,0.085295202,0.286697248,-0.3875,19.4,-4.2873,-1.3516
IDV-2,v,2X,-115.9738,43.6776,1003,9.4,470,153,-2.6,-7.1,22.2,32,134,274,141,2383,1915,102,334,960,0.5,0.34,0.103863789,0.325531915,-0.3978,24.8,-6.1958,-1.222
IDV-3,v,2X,-114.6402,44.259,1766,4,339,153,-8.3,-15.1,16.5,27.7,180,235,51,1316,616,136,982,2448,0.72,0.73,0.107010957,0.451327434,-1.2699,24.8,-10.9228,-2.8137
