Sample ID,Plant,Subsp_ploidy,Year,Population,Latitude,Longitude,Ecoregion,Included in GC?,Included in LC-MS?,Included in climate and spatial analyses,Climate PERMANOVAs
AZT.1.10_2012,AZT.1.10,T_4n,2012,Desert View,35.91738,-111.77287,Arizona/New Mexico Mountains,Yes,Yes,No,No
AZT.1.3_2012,AZT.1.3,T_4n,2012,Desert View,35.91738,-111.77287,Arizona/New Mexico Mountains,Yes,No,No,No
AZT.1.3_2021,AZT.1.3,T_4n,2021,Desert View,35.91738,-111.77287,Arizona/New Mexico Mountains,Yes,Yes,No,No
AZT.1.7_2012,AZT.1.7,T_4n,2012,Desert View,35.91738,-111.77287,Arizona/New Mexico Mountains,Yes,Yes,No,No
AZT.1.7_2021,AZT.1.7,T_4n,2021,Desert View,35.91738,-111.77287,Arizona/New Mexico Mountains,Yes,Yes,No,No
AZTW.1.5_2012,AZTW.1.5,T_4n,2012,Williams,35.82478,-112.13125,Arizona/New Mexico Mountains,Yes,Yes,No,No
AZTW.1.5_2021,AZTW.1.5,T_4n,2021,Williams,35.82478,-112.13125,Arizona/New Mexico Mountains,Yes,Yes,No,No
AZTW.1.7_2012,AZTW.1.7,T_4n,2012,Williams,35.82478,-112.13125,Arizona/New Mexico Mountains,Yes,No,No,No
AZTW.1.7_2021,AZTW.1.7,T_4n,2021,Williams,35.82478,-112.13125,Arizona/New Mexico Mountains,Yes,Yes,No,No
AZTW.1.8_2012,AZTW.1.8,T_4n,2012,Williams,35.82478,-112.13125,Arizona/New Mexico Mountains,Yes,Yes,No,No
AZTW.1.8_2021,AZTW.1.8,T_4n,2021,Williams,35.82478,-112.13125,Arizona/New Mexico Mountains,Yes,Yes,No,No
CAT.1.1_2012,CAT.1.1,T_2n,2012,Smoke Creek,40.5414,-119.9194,Northern Basin and Range,Yes,No,Yes,No
CAT.1.1_2021,CAT.1.1,T_2n,2021,Smoke Creek,40.5414,-119.9194,Northern Basin and Range,Yes,Yes,Yes,Yes
CAT.1.5_2012,CAT.1.5,T_2n,2012,Smoke Creek,40.5414,-119.9194,Northern Basin and Range,Yes,Yes,Yes,Yes
CAT.1.5_2021,CAT.1.5,T_2n,2021,Smoke Creek,40.5414,-119.9194,Northern Basin and Range,Yes,Yes,Yes,Yes
CAT.2.4_2012,CAT.2.4,T_2n,2012,Benton B,37.7973,-118.5704,Central Basin and Range,Yes,Yes,Yes,Yes
CAT.2.4_2021,CAT.2.4,T_2n,2021,Benton B,37.7973,-118.5704,Central Basin and Range,Yes,Yes,Yes,Yes
CAT.2.7_2012,CAT.2.7,T_2n,2012,Benton B,37.7973,-118.5704,Central Basin and Range,Yes,No,Yes,No
CAT.2.9_2012,CAT.2.9,T_2n,2012,Benton B,37.7973,-118.5704,Central Basin and Range,Yes,No,Yes,No
CAT.2.9_2021,CAT.2.9,T_2n,2021,Benton B,37.7973,-118.5704,Central Basin and Range,Yes,Yes,Yes,Yes
CAV.1.10_2012,CAV.1.10,V_2n,2012,Jack's Valley,40.5049,-120.5617,Sierra Nevada,Yes,No,No,No
CAV.1.4_2012,CAV.1.4,V_2n,2012,Jack's Valley,40.5049,-120.5617,Sierra Nevada,Yes,No,No,No
CAV.1.6_2012,CAV.1.6,V_2n,2012,Jack's Valley,40.5049,-120.5617,Sierra Nevada,Yes,No,No,No
CAV.1.7_2012,CAV.1.7,V_2n,2012,Jack's Valley,40.5049,-120.5617,Sierra Nevada,Yes,No,No,No
CAV.1.9_2012,CAV.1.9,V_2n,2012,Jack's Valley,40.5049,-120.5617,Sierra Nevada,Yes,No,No,No
CAV.2.10_2012,CAV.2.10,V_2n,2012,Benton V,37.7234,-118.5926,Central Basin and Range,Yes,No,No,No
CAV.2.6_2012,CAV.2.6,V_2n,2012,Benton V,37.7234,-118.5926,Central Basin and Range,Yes,No,No,No
CAV.2.7_2012,CAV.2.7,V_2n,2012,Benton V,37.7234,-118.5926,Central Basin and Range,Yes,No,No,No
CAV.3.6_2012,CAV.3.6,V_4n,2012,Jucamba,32.6458,-116.1864,Southern and Baja California Pine-Oak Mountains,Yes,No,No,No
CAV.4.1_2012,CAV.4.1,V_4n,2012,Tejon Pass,34.8251,-118.8724,"California Coastal Sage, Chaparral, and Oak Woodlands",Yes,No,No,No
CAV.4.4_2012,CAV.4.4,V_4n,2012,Tejon Pass,34.8251,-118.8724,"California Coastal Sage, Chaparral, and Oak Woodlands",Yes,No,No,No
CAVW.3.1_2012,CAVW.3.1,V_2n,2012,Fredonyer Peak,40.6328,-120.6064,Northern Basin and Range,Yes,No,No,No
CAVW.3.5_2012,CAVW.3.5,V_2n,2012,Fredonyer Peak,40.6328,-120.6064,Northern Basin and Range,Yes,No,No,No
CAVW.3.8_2012,CAVW.3.8,V_2n,2012,Fredonyer Peak,40.6328,-120.6064,Northern Basin and Range,Yes,No,No,No
COVW.2.2_2012,COVW.2.2,V_4n,2012,Meeker,40.1813,-108.4555,Colorado Plateaus,Yes,No,No,No
COVW.2.2_2021,COVW.2.2,V_4n,2021,Meeker,40.1813,-108.4555,Colorado Plateaus,Yes,Yes,No,No
COVW.2.3_2012,COVW.2.3,V_4n,2012,Meeker,40.1813,-108.4555,Colorado Plateaus,Yes,No,No,No
COVW.2.3_2021,COVW.2.3,V_4n,2021,Meeker,40.1813,-108.4555,Colorado Plateaus,No,Yes,No,No
COVW.2.6_2012,COVW.2.6,V_4n,2012,Meeker,40.1813,-108.4555,Colorado Plateaus,Yes,No,No,No
COVW.2.7_2012,COVW.2.7,V_4n,2012,Meeker,40.1813,-108.4555,Colorado Plateaus,Yes,No,No,No
COVW.2.7_2021,COVW.2.7,V_4n,2021,Meeker,40.1813,-108.4555,Colorado Plateaus,Yes,Yes,No,No
COW.1.2_2012,COW.1.2,W_4n,2012,Rifle A,39.6127,-107.81,Colorado Plateaus,Yes,No,No,No
COW.1.2_2021,COW.1.2,W_4n,2021,Rifle A,39.6127,-107.81,Colorado Plateaus,Yes,Yes,No,No
COW.1.8_2012,COW.1.8,W_4n,2012,Rifle A,39.6127,-107.81,Colorado Plateaus,Yes,No,No,No
IDT.1.10_2012,IDT.1.10,T_2n,2012,Old Oregon Trail Rd,43.09619,-115.65692,Snake River Plain,Yes,Yes,Yes,Yes
IDT.1.10_2021,IDT.1.10,T_2n,2021,Old Oregon Trail Rd,43.09619,-115.65692,Snake River Plain,Yes,Yes,Yes,Yes
IDT.1.2_2012,IDT.1.2,T_2n,2012,Old Oregon Trail Rd,43.09619,-115.65692,Snake River Plain,Yes,No,Yes,No
